,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,s.heat.stderr.wk,s.dark.stderr.wk,n.heat.wk,s.cool.db.stderr.wk,s.cool.wb.stderr.wk,n.cool.wk,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,r2.heat.wk,r2.cool.wk,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,s.heat.stderr.wknd,s.dark.stderr.wknd,n.heat.wknd,s.cool.db.stderr.wknd,s.cool.wb.stderr.wknd,n.cool.wknd,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw,r2.heat.wknd,r2.cool.wknd
0,10.0,18.3,898.0648112100987,-24.455814564331686,0.0,-461.52201948903144,33.601487631704934,3.4220265220171546,1.1186045804389255,0.0,74.0,0.7888931565991988,1.926588012308631,115.0,0.03903955907842081,0.027984670862585517,0.050125659781779096,0.8690865032567663,0.942631113940702,10.0,18.3,886.8572270097602,-23.6468814661169,0.0,-446.1213961874098,32.74164566638713,-0.21055954178759073,2.0329219009729567,0.0,41.0,1.2759022280938046,2.821401673769272,47.0,0.038610147601058666,0.022619971649952494,0.031562798093079714,0.7762512731088521,0.9389705379838371
1,10.0,18.3,889.4974239430724,-25.959275979527,0.0,-414.9634326899754,32.49402448545514,1.524292950554912,1.1176230714072817,0.0,77.0,0.8450583099773211,1.9589166083783969,110.0,0.04103151255919453,0.028144608538138906,0.05689907406796605,0.8779502890132246,0.9325197169981571,10.0,18.3,873.8375413633626,-24.094978429320648,0.0,-470.4512164046589,33.51208995026925,0.21435844198536103,2.1246466610067967,0.0,42.0,1.667984664430927,2.934476609926939,44.0,0.040759797876463943,0.02093337046056112,0.04234370052447325,0.7627681947022265,0.9219708299717138
2,10.0,18.3,882.7613200412995,-26.84040625032793,0.0,-377.94578442113277,31.45191062694354,-0.08567943285010227,1.049649338601307,0.0,83.0,0.8730646574013884,1.9541371219371544,108.0,0.04335562752935277,0.026826855168285698,0.06459208522132356,0.8897760357187006,0.9253186619069939,10.0,18.3,864.7509354262872,-24.073445267060034,0.0,-472.31577146642184,33.28062791946207,0.8958104898058163,2.1631102079283004,0.0,42.0,1.5441617816926192,2.6169787363641253,44.0,0.04216127137784579,0.02001486409773602,0.04544368465579848,0.7558841295972212,0.9305440790053596
3,10.0,18.3,886.8900304908925,-27.711000196804363,0.0,-344.03451421299087,30.64377076008642,-2.0005022168158857,1.1059013509722884,0.0,87.0,0.9364725525481312,2.176087901192267,104.0,0.0469892125971167,0.02587796346275571,0.0675684785163652,0.8807641313452291,0.9158727741411203,10.0,18.3,862.8704142486188,-24.51654296467028,0.0,-422.8581869599651,31.664666949059733,-0.7950799919283789,2.0449990946545014,0.0,44.0,1.40689245909277,2.4620954603627863,44.0,0.04396618699108265,0.019029865788127206,0.03714345979198398,0.7738591620006059,0.9356909110881524
4,10.0,18.3,886.133494432554,-26.34009702458225,0.0,-340.44233572319814,29.919795400723885,-3.586542950075575,1.1073345913578774,0.0,92.0,0.9677237254054818,2.0784168808778407,101.0,0.052288923808626604,0.02438117404754513,0.055240910715699004,0.8627668717841115,0.9109477994521048,10.0,18.3,849.3558390543429,-23.875434253577033,0.0,-364.7654029981075,29.357633655521735,-0.3079609194477655,1.9818140190367812,0.0,44.0,1.5236245117240295,2.7073222032250897,44.0,0.043770726979449615,0.021336632884599874,0.036453103463831946,0.7755649434874925,0.9124123078997812
5,10.0,18.3,925.801687613379,-27.80462466995314,0.0,-300.67536547317786,30.365626567755946,-9.843147825338107,1.2977891093130078,0.0,96.0,1.363035341339173,3.3103586426492013,95.0,0.057417247862906064,0.03018991385200811,0.05433379990671177,0.8300223511522469,0.8506642589854965,10.0,18.3,870.8014877327637,-25.973997039875183,0.0,-297.85180751555043,29.292077342546627,-8.186390661802,2.244257620997217,0.0,47.0,1.5661251547729707,3.609977392835708,44.0,0.05260625321403399,0.023198812162228674,0.048317933672292486,0.7485285321039497,0.9039196071414972
6,10.0,18.3,971.7404046092145,-28.787508796487817,24.184428763428116,-258.35469861899037,28.006800601054127,-9.081484122805447,1.3564392748876806,130.45359255080064,97.0,1.4584938543029007,3.5459954963255456,95.0,0.05495564062753017,0.030915932540227477,0.05050523303466585,0.827683067739986,0.8098004501807421,10.0,18.3,906.9417528679071,-27.533502207734728,0.0,-290.17962632584636,28.7116072766497,-7.808890335835391,2.448027244308928,0.0,47.0,1.5706915680832194,3.6430841621442536,44.0,0.05359761763913438,0.022142669738379667,0.057398390712333366,0.737609281993383,0.8994999396249637
7,10.0,18.3,1015.6321168657994,-28.221140860496106,0.0,-251.17958098229275,27.27561000479124,-11.578609926012888,1.2758443274765292,0.0,99.0,1.4467906372963277,3.778182372911471,94.0,0.05213750004514418,0.028722132451247124,0.0471424762746973,0.8345488664268733,0.8130149764714597,10.0,18.3,936.5816636768482,-29.079401388126023,7.52562507551994,-271.99210747176085,28.33799477241596,-7.019395866596755,2.4297449577859673,33.319783817273034,48.0,1.4426234470643367,3.29423457138523,44.0,0.05333126076970605,0.019408274954131284,0.060755114341632714,0.7615563043784367,0.9099238604774263
8,10.0,18.3,1008.5622182510327,-26.504060114710935,0.0,-320.9113409249532,30.264092626257945,-11.039333860441769,1.253181314967518,0.0,100.0,1.3162938376419517,3.7454471277012655,99.0,0.05069388907001139,0.02745538360404447,0.042834594075903815,0.8202817670004631,0.85084506912859,10.0,18.3,959.0542505645404,-26.920659912130027,0.0,-335.8412921717563,30.388086674389662,-10.404320438525103,2.2658694938432973,0.0,49.0,1.610707160030079,3.763702658573242,44.0,0.052431672501915404,0.020530438579128882,0.04028972757187177,0.7502082566402584,0.9012307517010074
9,10.0,18.3,1033.1383344568906,-25.102961669187554,0.0,-466.2701322323135,32.8453554512557,4.466794533169779,1.4795693525712557,0.0,85.0,1.1474454401029013,3.174745489702617,110.0,0.04899196075654921,0.029137847764654386,0.03961094921140199,0.7761950495057508,0.8865840999982775,10.0,18.3,1004.1076714435316,-27.666682514223158,0.0,-469.8981932625313,33.8985122415241,1.8117143943022977,2.352172568948048,0.0,44.0,1.6883439116809105,4.082365170525318,45.0,0.048369867800247664,0.02243320595759181,0.0497811929421734,0.7671181108356604,0.9060737152021415
