,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,s.heat.stderr.wk,s.dark.stderr.wk,n.heat.wk,s.cool.db.stderr.wk,s.cool.wb.stderr.wk,n.cool.wk,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,r2.heat.wk,r2.cool.wk,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,s.heat.stderr.wknd,s.dark.stderr.wknd,n.heat.wknd,s.cool.db.stderr.wknd,s.cool.wb.stderr.wknd,n.cool.wknd,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw,r2.heat.wknd,r2.cool.wknd
0,10.0,18.3,1414.2145418709806,-35.533804181660585,0.0,-540.3905799118826,39.960673560073054,-2.468996503320796,2.049619692778941,0.0,61.0,1.0625860432902743,2.4918994699311208,131.0,0.03249924806700977,0.027846045392298607,0.048247295040073114,0.8359123440427232,0.9176512648337756,10.0,18.3,1392.700654359696,-35.12990304776159,0.0,-485.1461865449356,38.65229842727202,1.2112456461812418,3.078714916842558,0.0,30.0,1.736424393731512,4.243755780571947,56.0,0.02611256739018578,0.02747614194976839,0.044985322600001,0.8230101798989023,0.9034039734554057
1,10.0,18.3,1408.893996601065,-37.00700016858636,0.0,-477.22562162336914,37.503199508300554,-3.7468010647151693,2.0217694029280016,0.0,61.0,1.0424165209229392,2.407614880767649,131.0,0.03335478656499395,0.02759905372272587,0.04769792268221601,0.85027131372219,0.9111091070688817,10.0,18.3,1369.7223475391727,-33.095708915377635,0.0,-486.0991780336709,36.60026787708313,-0.2822791413292407,3.43748492137204,0.0,33.0,1.7212636020171468,3.9177695938163657,54.0,0.03155574982674392,0.026496393914418295,0.03572043426167232,0.7493859272698589,0.8986389078701389
2,10.0,18.3,1408.7351120616145,-37.68691698701993,0.0,-446.424688303538,35.892340418719,-3.7597371413277294,1.8492266539414197,0.0,62.0,1.0586200687907863,2.3419574011298474,128.0,0.032056573060281986,0.026672179294282693,0.04879647755233485,0.8737738437900787,0.9037229608802244,10.0,18.3,1375.0307483990932,-34.85476041746952,0.0,-432.6240749268147,34.37517269522354,1.1652274440406742,3.1098212003291037,0.0,34.0,1.7208362611904564,3.900410258221141,54.0,0.029661127698775824,0.02738091086767631,0.03974694618888472,0.7969780574304408,0.8866757445387867
3,10.0,18.3,1411.126817205865,-37.100942925557135,0.0,-428.2561761603492,34.02262886791931,-4.735919783864624,1.87930201949911,0.0,64.0,1.1283926561627045,2.4144298035678347,124.0,0.03593617044842397,0.026812426380904666,0.042457586911625156,0.8627533889465935,0.8837606222797997,10.0,18.3,1370.770244888503,-35.264579511342006,0.0,-430.03624824627076,33.997210518255294,-0.020696326242783947,3.2834822170024403,0.0,36.0,1.8792320770103421,3.8622756688164643,51.0,0.030827034547275343,0.025317102926556354,0.03848285356428297,0.77234298348187,0.8722103859510913
4,10.0,18.3,1398.436787093312,-36.94208930317665,0.0,-423.79987229527256,35.27651770736042,-10.149941075993535,1.7699237378397108,0.0,69.0,1.2452493548503698,2.3157713739212835,118.0,0.03784367803328072,0.026336505476431456,0.051011127741120155,0.8667054133894372,0.8778376379752229,10.0,18.3,1326.869058575281,-32.0526756242668,0.0,-472.88607187137893,35.503074641478534,0.38344530902000074,3.054726768732942,0.0,40.0,1.8847083741601847,3.6031954086109392,50.0,0.0339800484263996,0.023893527641148046,0.044036683695284386,0.7434150804462605,0.8830486176725424
5,10.0,18.3,1462.5274381453019,-40.39011574824913,0.0,-407.4796946254089,38.32665136020992,-21.16238024900028,1.9044451026387201,0.0,75.0,1.532507163138131,3.8120220741261206,112.0,0.043256487857716054,0.025635937293401585,0.05290989747042339,0.8603655459094621,0.8541633248903524,10.0,18.3,1369.0029715347107,-35.75812756256059,0.0,-431.3896883932289,37.30569567934092,-9.93544680741552,3.141688466815586,0.0,42.0,2.613257020380254,4.7089178204069695,46.0,0.03555044042166496,0.02264619430484943,0.0477230686062814,0.7640755335749957,0.82632573196551
6,10.0,18.3,1574.450473172738,-42.57517152827575,0.0,-379.0042522711964,36.401279563595054,-20.990684335831126,1.8956221632397183,0.0,75.0,1.6354855982438687,3.9941309643524434,111.0,0.0402044842138008,0.025492771096995624,0.053766596322490305,0.8735798729693945,0.8228827603196142,10.0,18.3,1424.5954260685837,-37.10794428497933,0.0,-463.8852454482,38.30291445340794,-17.093403023374613,3.3962293310501974,0.0,42.0,3.0530502451328503,5.175423931418096,45.0,0.03860377444965858,0.02230116989902048,0.05155382808543671,0.7490310310376276,0.7896173935980825
7,10.0,18.3,1616.136457042785,-42.232806083728775,0.0,-361.66642371992936,34.55532422458133,-17.80706263078276,1.628127617237569,0.0,76.0,1.532139256072754,3.7292975102355,110.0,0.033544186461903255,0.02259473897793347,0.04876709044863344,0.9009181584668051,0.8271462998328305,10.0,18.3,1469.3978450435504,-36.808762506856546,22.073390233768293,-459.5711677339741,36.38149111562856,-15.143575009688274,3.428661081783075,43.131204649725056,43.0,3.0607893985183985,5.178616288124983,45.0,0.0395020350521206,0.022118650931747055,0.045573980310580506,0.7456124749490574,0.7726201694210282
8,10.0,18.3,1586.7209047676783,-40.303903775191486,0.0,-435.0694068342938,38.47331420483439,-17.84371605351937,1.6372791385159609,0.0,75.0,1.3836061226161689,3.3736407147583947,115.0,0.032238456873131725,0.02167619842359428,0.04947698138139054,0.8924836839308813,0.8736671398855945,10.0,18.3,1501.112873739049,-37.11104292119285,0.0,-486.8436183133933,38.04110075029921,-12.313758335752842,3.2342012323199603,0.0,41.0,3.274420941301807,5.478849370178032,45.0,0.03318949618231328,0.01999513976373579,0.04718231682103043,0.7714829141638111,0.7700436741221097
9,10.0,18.3,1627.950939702997,-37.37811858853629,0.0,-646.1200965310042,42.73182705775058,-5.1624353451007465,2.7489195963584554,0.0,58.0,1.643461378397672,3.694937365377655,119.0,0.03735513748287973,0.025712094050967627,0.049652104946404506,0.7675276703776622,0.8578124066359301,10.0,18.3,1533.55281444476,-31.81982051705613,0.0,-597.9376626701,38.083687021399584,-5.073232363401164,4.486090560656917,0.0,32.0,2.4737255867999655,5.164622131821913,52.0,0.03949508640011322,0.024782167395364194,0.04513165197786203,0.6264502429344312,0.850459031938058
