,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw
0,10.0,17.609116315936653,1020.7056605080646,-12.413748406464075,0.0,-374.2103719082519,34.20815221528115,27.465291833012245,31.71998216680322,42.28987027572538,33.291811955749495,10.0,17.91387605638667,991.1318087758082,-13.200016322783657,0.0,-747.4995761851746,52.81996573049336,25.20867569899716,23.79035571231272,41.84663188633428,31.659321620996437
1,10.0,17.114880289400407,973.926803895661,-12.674009047137382,0.0,-327.0693092395201,30.902202041950535,27.456190188355595,31.503495232209783,39.03794301549805,33.6517432739568,10.0,17.57835513504991,942.7318772844236,-13.29352948233586,0.0,-554.83966313047,42.74282411278066,31.17978054544085,23.097116920315667,43.95727939914357,30.908329390105383
2,10.0,16.73013488645504,950.7095298557063,-12.752990435403268,0.0,-292.1413642648215,27.8987070133692,24.302160562482378,29.8997067817508,35.62691984813551,29.130535286661818,10.0,17.499499066589024,913.3690437708113,-14.06654695623853,0.0,-445.02857168660506,36.91284390035533,32.70984483688121,22.171865538220644,40.00119444703925,37.50056925729134
3,10.0,16.733382492561446,937.574977789729,-12.678566386249786,0.0,-323.39124598124505,28.579704556234425,21.05149575902018,29.595071633598213,32.76271733976764,25.716774011273593,10.0,16.99255330269424,899.2364439970552,-13.74815861155797,0.0,-395.0149286831763,32.86773037241708,33.22821298170667,24.617068238105908,36.32161814516998,31.713239182919843
4,10.0,16.318850834643342,936.1263604200615,-12.796023517266315,0.0,-314.36053708116367,27.340963431800052,22.75271608568881,29.272641295781007,31.82975133420592,26.032555900038655,10.0,16.618073078019446,890.2677738815856,-13.96070271880335,0.0,-339.5432519185557,29.69221323195516,32.031724102917785,25.433885805979077,38.85143843088818,32.51929709182516
5,10.0,16.006736564718903,849.4307097518897,-12.187479321753237,114.61705861887471,-252.08777712065017,23.00568818936834,28.831308682079094,27.421035615182383,36.13466172651385,35.328396049834915,10.0,16.342428038720143,771.0586632882045,-13.879267085627653,127.88647735355067,-266.6582806776288,26.240618131644748,29.560722717235652,24.93937125453149,56.421381845943,44.03409291112559
6,10.0,16.24462759778985,1000.7020732745319,-12.760614508942687,40.27042896368789,-296.6217938519472,25.710923642848556,16.23236560925946,27.254054965163874,30.400754037169254,17.592591968311375,10.0,16.660196921765582,887.6476683516893,-13.381557977263423,48.297550864407135,-469.69935607716286,36.31619336830666,6.425912978344094,25.687957684387136,39.32368452589871,23.508808576605876
7,10.0,16.421773487040998,1133.6615335554147,-13.73816338142092,44.83685151217729,-435.24117005549164,31.12401822229807,11.876094239004342,34.202635663572345,25.032839263706446,19.390365060953656,10.0,16.711761715320367,960.0156471295855,-14.93751590547862,47.32917792340376,-422.87008041063626,32.06620564093713,15.653842834901562,34.82590117531632,28.269585388674148,27.856841758387503
8,10.0,17.369813128187776,1203.914356333613,-13.513099966694204,0.0,-528.4142687319307,35.69068391831459,17.99372389071463,35.96823111994975,27.35769110821468,23.106356326245162,10.0,17.466250199754867,1010.6778264065655,-15.4868279801718,0.0,-583.9275308152507,39.72810032603317,21.613592024769417,39.997261958001104,28.29648285575892,32.47745000298487
9,10.0,18.106571702370637,1227.8442766878663,-13.61178460642611,0.0,-571.461277464972,38.682993306920835,29.072963643183932,31.81727837620411,28.504705987576493,21.527365055221434,10.0,18.000568170469464,1059.141702721464,-16.67004044968506,0.0,-726.7349679211077,47.52718859856079,29.107067343871492,39.732702252666,31.867656563545996,40.455671370947115
10,10.0,18.3,1243.814527809918,-13.52811478524419,0.0,-535.734989373506,36.94630321462477,39.59360857995649,30.992973030640787,29.500314192472878,24.221054778695486,10.0,18.3,1101.4869640179986,-16.35122893665087,0.0,-801.9881244692987,49.726195567790896,32.91646772150237,42.124484669548195,48.06183813624,52.11321377391164
11,10.0,18.3,1250.3588170359915,-12.755404863406689,0.0,-635.0662934284337,41.840548169030605,39.29402489184128,34.088938480927474,34.895240008297534,28.827491493780144,10.0,18.3,1118.1055888187495,-15.767353639234987,0.0,-626.1834807972775,42.27475656757922,49.172309958047414,44.135296947093,70.31897780083442,40.301174561153786
12,10.0,18.3,1248.8106654360606,-13.374346965877983,0.0,-691.4231362757869,45.95851033396288,37.46979749031692,37.56203433681591,43.57685500995349,33.02575141654961,10.0,18.3,1128.5511138186168,-16.303253236030983,0.0,-652.2804475605744,44.79548880724679,50.69043132175093,46.40365458674235,75.42435837423129,35.05086307595659
13,10.0,18.3,1240.7527693053466,-12.890572094961986,0.0,-715.5662631866618,47.71458528934588,38.682068272562134,42.101182139796144,50.39607144440215,33.48501197841751,10.0,18.3,1130.0931080430605,-15.953007927031912,0.0,-766.3242912395057,49.94835241935315,43.38601191642128,46.672377544537134,72.93714497828333,42.52312371568285
14,10.0,18.3,1237.6144831319245,-12.73125708802407,0.0,-791.9757385626776,51.87630708096956,39.50467242963419,45.00989318489369,56.36009138774621,35.98590506684708,10.0,18.3,1127.1194782591028,-15.897378347869154,0.0,-891.942237363203,54.92176437164449,27.60956099326041,49.109951680436424,72.63278844824868,46.4911862399935
15,10.0,18.3,1230.3995776037796,-13.08238139157668,0.0,-875.8255975785314,56.21726980779814,36.71114905882344,46.29415253866058,57.64879928924972,38.045102576771264,10.0,18.3,1124.7046216235838,-15.695534489962816,0.0,-954.9349217889715,57.56313797618954,21.907801749905175,49.762802655677916,70.2178247027167,48.36895261284837
16,10.0,18.3,1216.3117394188407,-13.684569778911259,93.84888183603424,-889.3284049415395,58.196325940304284,33.556834569838294,42.94979932986306,60.936089450178876,35.15414049044609,10.0,18.3,1118.180775144769,-16.757800216741774,85.13231339955088,-981.7543226696416,60.41684309343913,20.394603893731126,48.24024137319047,65.83321669611344,47.83357620032074
17,10.0,18.3,1178.930801543053,-11.328126939171412,112.28750730750211,-900.0796448239861,58.47661044077266,30.736368046900537,39.34425226900375,61.3439333572817,32.77846586343529,10.0,18.3,1089.3319630490448,-13.152260122830384,102.79058547512213,-1064.8844569627393,63.66231291737601,20.36447278612448,43.432930126571094,60.511569441643466,54.745960624358894
18,10.0,18.3,1165.3690783606921,-11.003941891338815,155.65620860373878,-911.2537795562141,60.89499398971428,28.416419380302475,47.906637261587036,69.76261887667634,42.845922441888774,10.0,18.3,1099.990799359122,-14.95154356877468,128.89467389697904,-1054.4397176759937,67.3452146836563,16.20562685960996,51.90483071390642,58.10525528950053,43.825952526138565
19,10.0,18.3,1136.2503180947083,-14.433726482551098,173.30342958904978,-1130.8767677749058,73.36929681327106,17.25747600532938,51.890098345280244,79.92751845107028,53.3304274023034,10.0,18.3,1059.406335365905,-15.922637635618038,164.82500466952175,-1145.9977712704226,73.58204804417593,5.4059363477192965,47.79432939080584,67.05186957161209,48.60080754424398
20,10.0,18.3,1271.5363528779003,-17.34013367205222,0.0,-884.7946581403885,60.26410002588356,23.618799108465875,52.40788398620765,47.20570891732132,50.16595821139881,10.0,18.3,1187.123218833899,-18.01191590893313,0.0,-950.5062918830494,63.34155435145251,14.432267065770995,50.38643526473475,43.762864648611625,39.93431367720743
21,10.0,18.3,1241.4438894188474,-14.912455698222733,0.0,-789.0440806946165,55.2093770850707,23.641038844047607,38.970637742320804,44.812766828054656,34.64367228315781,10.0,18.3,1159.9613926148188,-15.271993931962617,0.0,-906.3191225885714,60.35521799967141,12.807001439810119,38.50942301603033,39.520220092155405,28.07773840824439
22,10.0,18.3,1178.3875067687177,-13.728265900060899,0.0,-534.2566075013143,44.52327786719114,34.35539473644771,31.988535574875964,54.86284722740345,29.760075498521417,10.0,18.3,1106.9222755723329,-14.246572370068687,0.0,-928.735584655812,64.32424811486484,2.773459679722276,32.78716891677674,53.79116408281818,32.354229237572106
23,10.0,17.84191012895504,1094.5894644497005,-13.346045534289761,0.0,-429.5764641202302,38.443425164737725,35.520529991618645,28.28561635292104,50.07280745177648,31.195543593137632,10.0,17.85323748364546,1042.1532843358289,-13.483694056668682,0.0,-842.4990262739104,60.35127662458384,-0.8138892619564119,30.019349628996995,49.730160776063464,31.58228963405102
