,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw
0,10.0,18.3,5360.924826057997,-71.83924222451571,0.0,-5901.190746548268,373.48277497421515,64.91971754540879,112.44349065780412,267.85548010212545,172.4415368676092,10.0,18.3,5314.735740542131,-59.45363457081596,0.0,-4897.701277174726,313.03154943083086,84.03924133726369,142.46822057957118,222.42071043313075,128.74541082233299
1,10.0,18.3,5025.978153904488,-68.82186055860177,0.0,-6038.8325512515485,382.323606500717,33.912655678321556,105.68757168927723,254.2003534951705,164.13375925229778,10.0,18.3,5032.45976409898,-59.82538613429557,0.0,-5018.1238885873245,324.9708714799281,22.30881431379027,129.58243735367242,215.65540155237014,111.70461015962654
2,10.0,18.3,4817.875306232395,-68.0628056445411,0.0,-6019.255158781863,382.05038784495906,0.004998870186075896,103.67906733231943,234.9760802749655,156.20919744715334,10.0,18.3,4826.34395174447,-57.16523111288108,0.0,-5177.304813065951,331.7686485305846,-10.664535759958287,123.30466775805287,199.82579752764184,111.41511395435003
3,10.0,18.3,4690.285928238884,-66.87424709756478,0.0,-6167.293771923891,386.4596456144942,1.1591927201956431,103.67578053212878,222.8849333479621,169.1997476583413,10.0,18.3,4679.135470110004,-60.62138183722771,0.0,-4941.847551930169,325.01571579342396,-19.669379563360213,113.08841842781185,195.94487638537993,118.36143787323
4,10.0,18.3,4626.844350320606,-65.34455722132807,0.0,-5827.756266918551,373.87884597305094,-35.12837578003051,104.4098301351617,215.8766285282672,143.47035898604574,10.0,18.3,4584.067238553035,-62.912849038003564,0.0,-5139.68446196512,336.8164632979866,-29.801901044118544,105.64535651592759,207.2041961093972,153.7853816750843
5,10.0,18.3,4297.667711723401,-63.235029307298646,335.11089752231055,-5320.607560456119,357.7350188329878,-34.99188367535913,109.31878952977375,224.0959324496852,167.05699473752617,10.0,18.3,4523.852902999723,-58.20498400438184,0.0,-5043.900697270631,335.51557164863584,-59.86380404575218,119.88896728272496,207.31803636304548,128.79789582509787
6,10.0,18.3,4793.521052691224,-64.94135970312922,100.58675344987087,-5268.653828481703,348.87186161675425,5.7773530008360305,112.35980717213693,257.54813390483724,192.11805839821002,10.0,18.3,4566.1915707896815,-59.18412498003772,27.611823037122228,-4532.7922767593955,302.6146543797367,1.1804599150672808,129.0763944174301,192.09078131607535,141.2892464237932
7,10.0,18.3,5384.63506188602,-67.6673201681115,54.417917013830554,-5207.390476901433,341.9583292850169,34.30024158527275,118.90278845119228,239.38352432177095,206.20827436985292,10.0,18.3,4746.369488139998,-61.76046330179461,75.70416503838024,-4577.875248798438,300.40876081663555,11.35813420403456,145.87069423542238,185.44086693245185,173.7004813868349
8,10.0,18.3,5914.860755093333,-69.4373330768563,0.0,-5102.688574731496,329.5989685045332,82.66476590361397,121.78135229953013,199.33073728181893,216.3113657448362,10.0,18.3,4978.271620411362,-62.81858923866979,0.0,-4597.185113264954,292.51156144713605,45.30239290811145,166.38408893548683,214.78543151145203,175.34018193346822
9,10.0,18.3,6269.459661257508,-69.22068933481647,0.0,-4468.499936246892,294.3357679798069,110.64898063191971,108.84141199631884,204.1145632054872,168.6820368024158,10.0,18.3,5275.925078712085,-63.553659604054026,0.0,-4444.21350108279,275.9253234192852,104.45160175399414,174.83155922766906,217.86107459739813,160.41446839260027
10,10.0,18.3,6520.752439134347,-71.34948811315135,0.0,-4098.828351227898,273.47892103602214,124.13583926804519,110.69046908928017,228.83546249325204,129.78713542556366,10.0,18.3,5585.408180323817,-76.16873942562138,0.0,-4985.408132909863,298.8583322181689,101.6070563557295,159.08472048376615,213.80753365393446,240.3405109602613
11,10.0,18.3,6616.0059650525,-69.70617966801882,0.0,-4084.9343524910805,267.40513016979867,143.61695671342886,114.09982572520934,253.6702411856481,125.68323799443301,10.0,18.3,5793.612892106787,-78.8341808856449,0.0,-4823.822728975882,287.06733620884154,123.3086211117451,163.36199603039768,242.47515872355518,254.2337994670885
12,10.0,18.3,6666.275309487346,-69.45596426477402,0.0,-4140.565854956471,267.8786252016152,149.22231237520353,117.91328500963692,272.2596802678716,127.21803395085605,10.0,18.3,5935.536480862129,-82.59263105431366,0.0,-4847.7418492902825,287.52899844826226,146.72349518685238,159.4345541904137,270.82383323591625,278.2488944536031
13,10.0,18.3,6687.144865300258,-71.59534925617238,0.0,-4344.841803805781,276.6662848325121,146.71101311366579,118.80443086482646,285.148709298895,162.7132202912185,10.0,18.3,6001.746172488333,-85.12211853411371,0.0,-4567.088286845669,277.7267824374299,171.08952652011692,154.76042794333912,291.6476295022751,246.57142880979427
14,10.0,18.3,6698.866267618618,-73.42759341984116,0.0,-4362.4530754714215,278.5874531482509,147.79416075640015,118.01875453330409,298.7936293776749,154.07544027744694,10.0,18.3,6022.4044069973315,-87.72564307845084,0.0,-4395.29663173251,274.5054495277281,201.77547108966567,145.13290222434696,308.41178847284203,234.80051810453776
15,10.0,18.3,6691.827569404233,-75.39030147330588,0.0,-4477.023738045746,284.80839778984387,143.23397618597528,118.18706314014052,308.30221249591017,145.4776398124651,10.0,18.3,6038.901843903044,-90.24620358188035,0.0,-4534.797244102454,280.088340333157,175.81610056915744,138.37527355412104,311.77679708194097,254.63412334913508
16,10.0,18.3,6716.9684951057125,-77.83010572323414,84.89741068759132,-4582.206671947957,291.1150685672753,139.2370072903786,118.33917611980671,300.01755169452974,161.42136137601963,10.0,18.3,6059.01625879994,-93.93043255674951,0.0,-4636.090564864409,285.62460143150196,156.54237107773298,146.25683401106122,305.9595906983079,287.5040610699011
17,10.0,18.3,6648.029890883317,-69.99572629502718,181.04851774702425,-4876.488547562645,300.4591649601899,131.44975929218774,110.11222615806442,305.16835093833873,161.49162988949266,10.0,18.3,5992.0288099926165,-89.10034701277081,97.87498680215023,-4879.886762236947,296.6592874072704,155.82261303466265,152.27107800485348,307.03123319268855,309.3214136076041
18,10.0,18.3,6626.696175013053,-69.8292028502741,261.03693003106133,-4729.045461726599,299.1781502857651,161.6950612448943,118.33082083199278,323.12063673588386,132.45163156756647,10.0,18.3,5978.007431271145,-90.24713367240804,220.55267080619797,-5500.553273459179,324.07077914113427,140.3822559864797,161.1615278837062,291.85428796400066,331.47812981573486
19,10.0,18.3,6378.441615238883,-80.34827766000838,393.8052846112205,-4921.545683145927,315.1421406627285,161.6472620507397,114.61190939766072,310.0686784154918,165.74542830768422,10.0,18.3,5823.416340761276,-91.57919324274934,374.46980680850015,-5532.673218366121,331.8721376001626,126.36150367181898,164.84077710458996,314.6624215140994,339.36714893978655
20,10.0,18.3,6611.504491736116,-81.82559188335361,0.0,-4535.683180082329,293.53846513758214,167.56641110106375,107.25650945810877,323.6675309554489,153.50456450263962,10.0,18.3,6104.976306401414,-84.81795962104883,0.0,-4908.221043548551,300.22652670066645,142.66315919190293,170.0461082958333,300.4916538484584,244.65591280755555
21,10.0,18.3,6401.425149983009,-76.20361660524152,0.0,-4776.250139577227,308.36812162839044,148.74649134523634,104.37288999518712,307.8008346388535,142.16897184595908,10.0,18.3,5971.1872003206645,-80.0701393849649,0.0,-4909.269667125771,308.31373620422175,109.34108865429832,149.4154898448826,275.9653569110246,196.23381192791678
22,10.0,18.3,6131.687348382853,-71.80003767327729,0.0,-5355.293717011836,337.8677086575568,105.08448948792618,103.33401820291418,274.99609452735234,130.4461163705261,10.0,18.3,5783.851734973294,-76.68297261888164,0.0,-5116.378693700053,325.0299217003352,83.21114310490915,142.44718378850524,271.49664934756385,186.20621413379703
23,10.0,18.3,5785.20779294409,-70.60808752562427,0.0,-5587.176507581183,355.0316265517177,89.95478869237225,101.55139905327275,275.6186464722763,134.68141196706506,10.0,18.3,5543.403605150031,-76.12889152906797,0.0,-5429.201438932539,347.0866117190571,78.86343318002805,127.23637791405667,262.35161074394733,225.1481595209536
