,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,s.heat.stderr.wk,s.dark.stderr.wk,n.heat.wk,s.cool.db.stderr.wk,s.cool.wb.stderr.wk,n.cool.wk,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,r2.heat.wk,r2.cool.wk,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,s.heat.stderr.wknd,s.dark.stderr.wknd,n.heat.wknd,s.cool.db.stderr.wknd,s.cool.wb.stderr.wknd,n.cool.wknd,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw,r2.heat.wknd,r2.cool.wknd
0,10.0,18.3,2157.7704340061778,-36.64244046473027,0.0,-3072.7983206660138,190.57688694605514,0.2830921228761838,1.534117671011852,0.0,112.0,8.05360534303489,19.38476174740025,82.0,0.02687990353704551,0.04810048827394309,0.03408042054241974,0.838352837086758,0.8803530899955291,10.0,18.3,2165.459504986798,-33.015133410221,0.0,-3293.6302884076476,198.107259806811,7.558866937404389,2.627856652057973,0.0,49.0,11.124009453836115,23.923578965126485,33.0,0.02704409345592217,0.039309625957587115,0.04094765447325021,0.7705549463987436,0.9368678332960717
1,10.0,18.3,2013.8215878515357,-35.74226668103483,0.0,-2899.5856813940527,179.89889264996518,-0.11261086257258057,1.3809492678130917,0.0,113.0,7.583461664789761,17.67164898280648,78.0,0.026604482662326304,0.045698671987342156,0.04169583133756698,0.8578559702639259,0.8884574103850406,10.0,18.3,2030.5254399530372,-33.57889853965766,0.0,-3224.7412142243447,194.02216148655077,-10.33348108577573,2.416310813998661,0.0,50.0,10.524705108451565,22.233694234909287,32.0,0.02638919536752673,0.0362523121262684,0.04859589257939637,0.8009290143929482,0.9479611630582239
2,10.0,18.3,1938.1666184662781,-35.73107180838104,0.0,-2690.1750979718636,166.72011736350356,16.512444428043437,1.2844062896091721,0.0,114.0,7.102966420835008,16.53908651915589,75.0,0.026279171845269206,0.043025330622380446,0.05054636359778058,0.873575504282422,0.888407451500447,10.0,18.3,1938.547327537622,-32.646808545352705,0.0,-2926.669999723333,177.87396090147308,-9.843153982487678,2.0178531502131247,0.0,51.0,9.504383455427506,19.466240892354385,33.0,0.025110769658835873,0.03462347258128505,0.044489890112817156,0.842321764268245,0.9515860728607061
3,10.0,18.3,1888.359382877782,-35.46673091656339,0.0,-2356.023895366944,150.015987939955,18.479926191215547,1.2848252989559616,0.0,114.0,7.128711528016473,15.957102537228714,73.0,0.027404184698321975,0.04305991789621007,0.04439891262559058,0.8718533384244991,0.8699344152338675,10.0,18.3,1884.4776477604532,-34.27554500852082,0.0,-2637.443022318944,164.61464697783586,-6.777989589658404,1.677943481870778,0.0,51.0,9.558147683223822,19.30220436324137,33.0,0.023248008838502292,0.035878696013506434,0.04729582174711839,0.8949100070233503,0.9455901929952548
4,10.0,18.3,1869.111286199296,-34.825778971604365,0.0,-2215.061220039999,142.67683402361308,16.268921394100985,1.2772072334133637,0.0,116.0,7.240496342351212,15.948255848707253,71.0,0.02785193343593395,0.04134627566625945,0.04252642797491916,0.8670548539590905,0.8590587172051579,10.0,18.3,1852.351629860574,-34.226362665794994,0.0,-2555.0520760004733,159.97521299705454,-3.953576999245726,1.5965080162968128,0.0,52.0,10.451805574507434,20.936029159285507,30.0,0.0233707107676755,0.035347361548867876,0.05131570224284175,0.9018836814372302,0.9371904121479739
5,10.0,18.3,1847.0883468537563,-34.68268684019593,46.94829680546923,-2152.3790061286472,140.2616634205151,17.07014926316451,1.2680435525374174,109.07026452887641,115.0,7.486632500587159,15.917405311959417,69.0,0.025268969530698644,0.04030116417808528,0.048824982453031955,0.8776619313453253,0.8508421644697127,10.0,18.3,1841.8860219377418,-33.73758331405054,0.0,-2519.09004742439,158.2928494017881,-4.225957761385217,1.6021620367542668,0.0,52.0,10.899408800293731,20.9482318915811,29.0,0.02367139534130869,0.03660987235848824,0.05446765978619153,0.8986664061704556,0.9345128648573662
6,10.0,18.3,1954.2978115810688,-34.314934586941845,71.67037226574085,-2073.8505305000904,135.71863467488043,15.035934693088826,1.2143927350877821,19.53778829035498,114.0,7.73053973884055,15.976243783303165,69.0,0.021527143493949612,0.035719750699652046,0.043295205208603506,0.8984912751580514,0.8342990147028102,10.0,18.3,1854.511873257809,-33.822530612341126,33.509720475540746,-2127.834589649284,138.4722255397596,2.4260154023161817,1.893301694455993,37.58124106490595,53.0,9.442682960252206,20.798668366692837,30.0,0.0250083726668698,0.03657673907643101,0.04152432107886679,0.8845064606718239,0.9323690883693072
7,10.0,18.3,2210.92288047331,-36.887553344337086,117.77917426660821,-1878.1999215646338,124.47977002384884,12.100779191983762,1.4618138958120221,43.06188115165237,114.0,7.027089530170989,13.994022969517845,70.0,0.026213668903028883,0.03136811594058874,0.03707510823126031,0.8631697209046736,0.8391152409083853,10.0,18.3,1953.4715905868482,-37.1354706152359,106.20534336705236,-1979.8942072746966,131.18951582908983,7.34584278804779,1.8832980711399552,52.363888280661556,51.0,8.503292562292744,19.036282646918128,32.0,0.025762828993362595,0.035755174711502496,0.043516921581568724,0.8970041031128924,0.9362029637883091
8,10.0,18.3,2362.4688723794598,-36.03825453843767,0.0,-1981.6668291050341,129.029299746274,15.709550559012683,1.7111918047284878,0.0,113.0,6.653263241615344,14.275572428766193,73.0,0.029183221716673702,0.031555467503365284,0.03169802800946459,0.7998331092611934,0.8565121787180419,10.0,18.3,2051.3680701333687,-39.39649934882257,0.0,-2402.345636792252,150.8159891991103,4.752054678386855,2.3255062284468377,0.0,51.0,8.867931214508962,19.167936897561944,33.0,0.03181766894797167,0.03776135964954787,0.05614331027804621,0.8541661951733175,0.938704253693582
9,10.0,18.3,2381.7083866580115,-33.101001126363975,0.0,-2357.282408553502,147.34178157313738,33.57940682080968,2.077281220610581,0.0,110.0,7.078781599799953,15.58490599180674,77.0,0.035270951483715486,0.0363076990737113,0.03972110829971674,0.7015889852862709,0.8706401279440421,10.0,18.3,2133.979329248147,-36.19895041811429,0.0,-2821.249416191347,168.852970757654,14.972734265480714,3.115504311102793,0.0,52.0,8.363826454380087,19.1180080584835,37.0,0.04096036718599004,0.04141789406874922,0.05520615247575022,0.7297303996829194,0.9433085431744251
10,10.0,18.3,2380.0479297378492,-31.552708618823086,0.0,-2563.935491591702,158.20163687520647,62.61634698687928,2.8679374306666623,0.0,105.0,7.695468573417181,16.67327265888798,80.0,0.046117746308155294,0.04214760911495559,0.05333541708064653,0.540263546973637,0.8620899680714715,10.0,18.3,2199.3887239022006,-36.32147616238989,0.0,-3401.060648555498,195.83023698705523,29.594781469924257,4.193033752397326,0.0,51.0,10.125169315917745,22.198895403299332,39.0,0.05112583936558122,0.04968802649297029,0.06625419811054567,0.6049537252150623,0.9365021827473795
11,10.0,18.3,2368.8990876143303,-27.346091816418557,0.0,-2817.221453450551,169.6446086073675,79.51434194268518,3.558529878053009,0.0,99.0,7.428318164793235,14.175896094978974,86.0,0.05399545612186447,0.0492662178842957,0.06410354959500209,0.37842028086935964,0.8764308100168421,10.0,18.49130063132432,2212.3920383421673,-30.75539152510244,0.0,-4130.348335221649,223.36710746159338,45.05869437788712,5.464020704556847,0.0,47.0,11.53566198558705,23.918679218895587,40.0,0.06088635634630329,0.05671821615244761,0.0803899045580245,0.41316378148281174,0.9330383814299169
12,10.0,18.3,2353.741111121442,-27.295016917405263,0.0,-3172.9451852939565,188.97350042787465,87.81739000454434,4.061144566919189,0.0,97.0,7.762427568132044,14.844726375238812,88.0,0.06052593634313262,0.05576393100586425,0.07128657094550611,0.3222614819142241,0.8841812317208051,10.0,18.3,2224.9202260195834,-31.61223283560753,0.0,-4206.177849444534,231.55385671692142,77.13888314053443,6.49210816583314,0.0,47.0,12.165116639840791,24.694059991652537,41.0,0.07030923769713827,0.061162566912268915,0.0867024140149922,0.3450772939797866,0.9265105289604344
