MarketHour, CSWS, EDE, GRDA, INDN, KACY, KCPL, LES, MPS, NPPD, OKGE, OPPD, SECI, SPRM, SPS, WAUE, WFEC, WR
6/1/2016 6:00,4444.115,463.867,611.223,97.999,250.018,1579.985,318.844,806.666,1359.965,3036.945,1127.1,546.573,326.415,3049.715,2310.561,839.815,2980.155
6/1/2016 7:00,4219.907,434.448,601.775,90.736,240.15,1490.709,298.061,755.548,1285.969,2888.556,1062.437,528.144,306.387,2958.485,2233.711,810.449,2831.613
6/1/2016 8:00,4064.978,419.068,592.231,85.968,233.643,1433.534,284.01,727.829,1292.299,2800.17,1028.76,517.474,294.014,2891.14,2198.294,795.566,2738.831
6/1/2016 9:00,3973.418,410.79,590.345,83.243,226.905,1400.241,276.983,710.683,1272.26,2737.554,1011.95,514.811,285.404,2862.482,2170.509,789.403,2683.809
6/1/2016 10:00,3987.53,413.415,590.924,83.427,230.466,1408.233,279.094,712.477,1271.026,2743.412,1017.448,518.959,288.256,2857.438,2183.987,786.297,2695.227
6/1/2016 11:00,4157.645,443.971,590.907,88.246,236.794,1481.909,292.943,742.418,1314.767,2862.748,1061.545,537.259,301.552,2887.036,2258.947,795.182,2810.516
6/1/2016 12:00,4427.312,485.546,614.005,93.454,246.93,1577.717,319.027,783.981,1415.252,3039.564,1126.081,554.671,318.764,2979.536,2388.516,821.96,2970.776
6/1/2016 13:00,4668.182,526.078,631.989,102.207,262.942,1733.69,356.748,850.068,1508.729,3192.84,1228.058,577.053,347.635,3020.664,2532.342,845.765,3223.323
6/1/2016 14:00,4905.862,563.05,651.914,113.629,278.786,1871.148,383.822,921.631,1531.537,3359.751,1301.651,607.384,376.211,3098.755,2612.516,864.298,3482.504
6/1/2016 15:00,5112.467,602.589,648.3,125.564,286.596,1999.96,402.205,995.888,1628.087,3506.751,1360.909,623.953,398.723,3174.102,2673.931,886.546,3685.534
6/1/2016 16:00,5356.053,641.417,707.995,136.333,292.991,2115.33,420.33,1060.344,1669.572,3676.225,1420.682,641.283,425.273,3223.215,2707.328,909.959,3892.42
6/1/2016 17:00,5571.869,675.491,781.836,146.108,310.597,2195.467,434.029,1110.112,1687.086,3807.023,1475.647,655.333,456.584,3272.842,2718.714,941.901,4025.21
6/1/2016 18:00,5745.344,704.266,776.311,155.926,309.9,2263.439,446.747,1154.084,1720.508,3900.826,1512.133,555.371,480.837,3297.453,2704.779,957.309,4169.327
6/1/2016 19:00,5908.75,724.998,765.241,162.081,324.815,2329.184,459.222,1200.854,1748.329,3931.562,1553.69,680.535,502.304,3320.607,2729.068,970.803,4315.046
6/1/2016 20:00,5978.85,719.583,775.578,167.233,327.077,2394.039,470.503,1238.346,1763.489,3862.894,1599.333,689.587,497.61,3343.168,2737.43,985.215,4415.73
6/1/2016 21:00,5985.936,700.839,777.029,172.252,331.704,2451.504,481.528,1277.554,1771.179,3840.718,1640.717,693.962,470.622,3352.735,2731.375,991.613,4459.191
6/1/2016 22:00,6017.824,688.826,764.337,177.425,326.147,2493.716,493.148,1306.88,1778.189,3821.645,1679.14,694.509,454.414,3337.599,2721.475,990.679,4442.743
6/1/2016 23:00,6031.498,685.541,744.589,180.379,320.123,2474.324,499.277,1304.232,1743.385,3798.125,1702.628,676.729,447.362,3287.369,2672.271,989.638,4348.959
6/2/2016,5998.463,670.145,714.374,176.916,312.301,2402.456,497.646,1271.818,1708.563,3758.42,1684.375,662.938,436.686,3234.557,2654.009,992.719,4236.089
6/2/2016 1:00,5744.479,651.505,692.673,168.778,305.834,2291.656,482.283,1213.007,1696.654,3721.708,1636.262,647.735,425.908,3199.223,2622.905,983.53,4068.302
6/2/2016 2:00,5666.421,645.174,689.626,157.927,297.104,2180.651,458.703,1153.681,1672.453,3732.557,1558.176,632.938,421.946,3169.163,2584.74,992.429,3935.702
6/2/2016 3:00,5583.176,629.707,685.752,146.469,300.695,2125.318,448.045,1111.02,1696.33,3733.903,1519.715,633.396,408.351,3220.734,2622.671,999.337,3877.749
6/2/2016 4:00,5228.601,571.409,655.788,127.856,283.133,1913.022,409.034,998.769,1618.029,3542.209,1399.369,610.687,375.658,3147.2,2571.807,951.443,3583.041
6/2/2016 5:00,4777.509,509.829,625.945,109.857,262.713,1702.807,358.967,874.367,1502.804,3279.062,1252.275,575.128,340.739,3017.831,2410.263,882.577,3233.605
6/2/2016 6:00,4429.02,463.799,605.332,96.466,249.079,1544.455,324.4,785.112,1395.039,3041.541,1141.189,547.841,311.599,2920.181,2296.656,832.69,2976.359
6/2/2016 7:00,4216.622,437.441,596.123,88.086,238.817,1447.046,302.939,731.421,1339.172,2915.696,1075.403,527.803,293.4,2864.75,2230.86,808.941,2825.989
6/2/2016 8:00,4083.553,419.286,588.894,82.869,230.571,1385.428,288.783,704.861,1323.411,2790.198,1036.902,520.605,281.903,2824.738,2182.057,790.468,2670.607
6/2/2016 9:00,4019.774,410.048,585.836,80.147,223.477,1351.073,280.838,686.571,1258.939,2731.402,1016.62,522.668,276.456,2797.313,2173.881,778.354,2681.167
6/2/2016 10:00,4045.579,416.232,584.898,81.185,223.849,1353.832,282.554,689.488,1273.224,2722.024,1024.901,526.097,280.704,2792.051,2177.305,778.657,2697.268
6/2/2016 11:00,4226.246,444.264,599.28,85.031,227.518,1415.859,296.819,717.79,1327.188,2836.674,1068.167,541.333,296.586,2829.527,2241.223,796.328,2816.572
6/2/2016 12:00,4486.933,486.601,614.177,90.379,240.864,1511.137,319.954,760.596,1410.849,3020.586,1136.732,561.408,316.373,2898.692,2371.847,829.312,2989.094
6/2/2016 13:00,4729.858,532.026,633.279,98.738,259.847,1674.171,359.369,829.971,1547.896,3155.398,1246.717,584.986,346.507,2962.1,2532.614,852.425,3242.443
6/2/2016 14:00,4975.155,560.766,655.599,108.239,271.163,1808.555,391.227,894.991,1629.123,3302.458,1326.302,624.47,365.874,3045.989,2595.59,865.394,3483.73
6/2/2016 15:00,5187.572,584.724,677.063,119.753,281.76,1933.69,418.442,958.983,1678.165,3453.462,1390.766,646.855,386.21,3100.684,2647.169,881.111,3665.086
6/2/2016 16:00,5427.956,615.177,735.197,132.612,292.899,2042.599,443.505,1024.559,1728.324,3605.373,1464.179,672.096,410.12,3160.734,2672.904,910.691,3837.441
6/2/2016 17:00,5588.496,638.139,763.158,142.588,305.726,2151.016,464.612,1086.001,1780.208,3723.226,1525.283,686.151,431.994,3201.746,2708.83,928.245,4030.511
6/2/2016 18:00,5694.334,658.469,756.121,152.9,312.182,2253.767,484.092,1143.469,1803.643,3819.285,1591.402,687.011,447.723,3240.796,2729.586,945.14,4206.508
6/2/2016 19:00,5773.703,683.499,754.185,162.121,325.682,2344.057,504.059,1194.311,1844.334,3917.919,1671.832,719.357,464.829,3307.361,2775.454,966.523,4340.292
6/2/2016 20:00,5735.462,701.834,757.899,168.983,329.098,2418.847,521.094,1239.413,1876.566,3989.259,1743.314,735.043,478.766,3368.371,2809.36,976.517,4468.952
6/2/2016 21:00,5681.6,708.989,756.595,175.186,336.642,2482.138,537.019,1281.386,1888.89,3993.822,1805.964,749.926,493.028,3422.229,2844.319,980.725,4563.101
6/2/2016 22:00,5660.093,710.824,744.366,180.754,337.233,2522.166,549.459,1320.641,1931.674,3973.75,1863.31,752.891,501.685,3476.621,2873.433,976.382,4627.334
6/2/2016 23:00,5496.259,701.447,725.687,182.242,332.067,2522.551,555.807,1326.365,1895.911,3864.097,1880.032,737.004,491.012,3473.336,2854.532,970.679,4586.959
6/3/2016,5395.759,685.15,712.652,178.493,324.963,2458.189,549.609,1299.267,1897.284,3788.461,1835.646,716.456,478.072,3448.859,2870.299,966.027,4476.044
6/3/2016 1:00,5312.715,662.93,701.141,169.326,314.595,2343.171,530.98,1250.989,1869.618,3697.768,1785.648,702.119,457.598,3403.593,2825.419,955.118,4315.199
6/3/2016 2:00,5326.706,653.949,695.736,158.328,308.28,2216.401,502.889,1185.785,1814.548,3693.901,1700.28,676.602,450.448,3344.54,2761.601,957.049,4121.033
6/3/2016 3:00,5267.435,642.822,690.187,147.476,309.28,2146.968,487.313,1132.69,1812.245,3673.577,1658.115,672.325,438.463,3366.515,2756.249,972.717,4034.283
6/3/2016 4:00,4988.144,590.663,662.376,128.329,291.426,1954.138,444.555,1013.986,1737.418,3488.901,1533.292,649.439,403.394,3286.145,2695.958,934.029,3710.887
6/3/2016 5:00,4629.064,527.426,629.319,109.814,272.235,1748.006,393.648,891.856,1580.509,3245.605,1375.04,610.42,363.75,3143.382,2492.371,872.814,3331.562
6/3/2016 6:00,4317.898,482.779,598.594,96.904,253.121,1586.48,352.809,804.968,1447.944,2999.575,1250.262,586.082,331.263,3004.297,2356.355,827.124,3047.632
6/3/2016 7:00,4102.269,456.109,583.21,88.301,245.517,1476.42,328.519,750.323,1388.408,2880.82,1171.02,562.218,311.484,2919.936,2281.288,801.544,2875.22
6/3/2016 8:00,4006.615,441.004,575.478,83.113,234.82,1420.258,311.144,718.3,1359.334,2786.623,1116.887,549.418,301.355,2875.217,2215.456,784.914,2765.501
6/3/2016 9:00,3936.133,431.647,575.035,80.724,234.472,1385.437,300.857,703.424,1324.091,2722.86,1085.742,545.616,296.384,2834.648,2189.801,779.447,2713.244
6/3/2016 10:00,3944.367,435.421,575.235,80.947,235.381,1378.624,300.427,700.736,1334.191,2753.726,1088.902,546.419,299.249,2830.311,2224.208,776.921,2722.281
6/3/2016 11:00,4106.186,462.579,587.033,84.818,238.557,1441.992,314.023,728.25,1353.442,2849.879,1129.527,564.634,316.319,2861.219,2293.291,783.697,2830.311
6/3/2016 12:00,4344.456,496.043,602.393,89.453,248.507,1529.027,339.484,769.957,1422.581,3029.9,1195.896,578.517,336.329,2927.339,2411.112,810.851,2982.729
6/3/2016 13:00,4560.29,536.338,622.324,96.398,267.064,1656.138,383.131,825.796,1536.389,3165.831,1323.749,600.688,362.427,2991.517,2558.487,833.203,3208.806
6/3/2016 14:00,4832.617,560.581,641.244,104.656,277.186,1769.108,418.362,888.697,1638.691,3330.1,1436.532,631.935,384.624,3076.526,2657.761,859.476,3439.827
6/3/2016 15:00,5076.971,594.688,668.247,115.89,289.412,1887.866,445.94,956.79,1706.142,3474.65,1533.953,660.858,405.027,3157.57,2712.932,882.718,3659.01
6/3/2016 16:00,5331.151,630.984,689.927,137.617,299.494,2013.12,473.028,1033.251,1773.526,3625.853,1622.878,689.148,422.955,3249.71,2769.282,911.616,3893.293
6/3/2016 17:00,5524.929,649.194,704.966,150.289,306.163,2140.136,492.61,1090.366,1838.091,3768.193,1687.826,712.026,439.348,3338.217,2801.352,934.849,4078.791
6/3/2016 18:00,5846.291,659.516,746.714,165.666,324.414,2265.842,503.661,1150.046,1860.157,3858.753,1725.471,727.967,446.704,3429.22,2830.779,951.688,4245.911
6/3/2016 19:00,5806.049,664.613,770.288,172.839,336.423,2378.899,518.922,1212.765,1896.545,3979.029,1781.185,743.868,455.976,3535.06,2863.37,976.373,4427.711
6/3/2016 20:00,5756.968,661.079,737.804,171.388,342.078,2467.08,534.441,1251.23,1921.438,4001.736,1830.3,753.892,456.243,3664.244,2889.468,998.303,4499.747
6/3/2016 21:00,5763.753,653.825,732.112,178.967,346.138,2519.801,550.298,1285.701,1934.644,4051.802,1884.374,767.771,448.112,3773.349,2893.211,1023.051,4636.749
6/3/2016 22:00,5740.502,640.406,733.16,184.596,338.173,2555.889,559.602,1315.115,1958.822,4095.38,1908.357,779.658,440.377,3859.489,2918.804,1042.928,4709.949
6/3/2016 23:00,5657.808,627.328,725.823,184.914,335.517,2526.772,558.28,1305.694,1913.504,4067.971,1884.264,779.408,429.465,3879.938,2852.682,1055.416,4719.939
6/4/2016,5548.615,612.907,715.836,177.737,320.932,2442.614,546.323,1268.94,1887.12,4029.232,1805.677,759.023,416.616,3856.078,2784.288,1055.463,4608.864
6/4/2016 1:00,5402.193,602.275,700.093,168.252,319.184,2324.756,516.908,1214.177,1810.207,3955.255,1640.192,749.938,404.516,3783.395,2715.983,1036.074,4443.127
6/4/2016 2:00,5364.405,602.44,693.077,159.958,314.737,2223.757,476.668,1163.534,1757.852,3895.395,1545.669,723.863,405.52,3639.527,2634.142,1013.335,4249.786
6/4/2016 3:00,5298.174,601.124,687.219,151.741,315.903,2187.675,451.497,1144.136,1730.237,3873.289,1510.085,703.472,400.927,3571.399,2607.31,1020.399,4151.288
6/4/2016 4:00,5045.376,563.552,661.73,137.323,299.638,2046.366,414.147,1048.065,1642.304,3654.691,1411.024,678.423,375.927,3463.867,2547.338,976.607,3867.072
6/4/2016 5:00,4690.364,512.763,626.261,121.216,281.757,1875.432,370.597,939.687,1454.284,3366.65,1277.875,641.123,343.621,3297.649,2432.896,910.24,3512.861
6/4/2016 6:00,4361.323,468.327,588.737,107.99,272.797,1724.032,336.354,846.249,1402.583,3127.459,1161.609,611.493,316.796,3152.305,2319.574,854.98,3221.89
6/4/2016 7:00,4149.25,438.715,562.953,99.23,258.018,1609.094,311.413,783.412,1329.529,2968.106,1094.199,589.058,299.306,3043.867,2251.348,818.999,3024.291
6/4/2016 8:00,4007.411,421.075,553.076,91.258,239.246,1509.607,296.326,739.163,1294.413,2870.199,1051.434,569.556,288.042,2962.087,2198.005,795.13,2889.347
6/4/2016 9:00,3912.636,410.782,547.162,86.147,235.676,1448.58,285.104,713.222,1280.549,2792.777,1025.2,557.402,281.723,2912.533,2185.199,784.563,2800.769
6/4/2016 10:00,3883.065,408.856,547.024,84.484,235.703,1425.064,282.03,702.446,1287.757,2753.843,1016.624,554.961,280.728,2867.543,2181.313,777.064,2773.887
6/4/2016 11:00,3928.403,419.967,543.774,84.797,232.23,1431.012,282.461,705.79,1295.816,2783.109,1025.78,560.642,284.369,2884.627,2197.907,790.187,2778.309
6/4/2016 12:00,3924.94,432.532,540.971,85.593,226.881,1432.53,283.449,704.83,1306.705,2804.037,1030.804,564.456,284.537,2886.529,2230.489,792.906,2750.422
6/4/2016 13:00,4071.057,454.627,551.566,92.601,232.842,1530.697,307.003,757.16,1364.205,2888.052,1107.651,570.98,298.507,2894.174,2327.455,817.001,2908.865
6/4/2016 14:00,4369.405,486.007,568.738,106.981,249.163,1677.426,339.829,837.868,1451.26,3059.135,1203.521,594.607,318.095,2989.579,2442.632,867.985,3152.214
6/4/2016 15:00,4607.569,518.366,583.681,122.122,266.559,1823.685,368.346,922.769,1517.414,3300.215,1287.72,614.841,336.742,3119.764,2526.518,912.897,3379.703
6/4/2016 16:00,4897.886,548.781,602.573,136.842,282.153,1971.96,388.111,998.594,1572.037,3574.27,1358.08,642.656,351.964,3264.165,2578.814,970.791,3608.722
6/4/2016 17:00,5196.684,578.145,624.541,147.894,290.373,2086.223,402.223,1064.459,1586.683,3841.086,1413.03,662.611,365.316,3393.839,2607.645,1028.479,3773.907
6/4/2016 18:00,5503.556,605.392,694.1,154.679,295.93,2144.639,413.392,1101.812,1549.903,4056.313,1453.687,675.628,384.346,3510.093,2574.203,1071.704,3857.704
6/4/2016 19:00,5777.679,632.154,718.433,158.165,300.487,2174.091,421.785,1127.612,1609.882,4252.047,1486.149,691.158,403.834,3627.361,2583.112,1111.914,3935.984
6/4/2016 20:00,5990.531,647.366,735.702,161.732,304.704,2199.919,427.02,1144.953,1623.725,4363.151,1499.522,701.4,422.588,3725.455,2591.746,1136.514,3992.329
6/4/2016 21:00,6150.596,657.147,709.407,164.764,306.38,2228.928,429.322,1162.783,1644.648,4457.145,1509.18,709.313,433.717,3758.941,2609.93,1151.349,4052.158
6/4/2016 22:00,6212.414,662.814,717.593,166.78,303.87,2252.547,434.043,1179.379,1675.756,4518.958,1519.257,717.406,443.181,3754.605,2616.811,1170.248,4099.234
6/4/2016 23:00,6143.265,663.387,714.518,165.969,300.941,2239.315,435.747,1189.384,1676.993,4505.482,1522.947,721.187,438.357,3774.995,2636.557,1177.288,4086.955
6/5/2016,6005.746,649.728,701.852,162.572,295.561,2192.934,431.201,1168.924,1671.632,4411.064,1492.56,714.693,432.879,3762.415,2628.954,1161.183,4027.972
6/5/2016 1:00,5794.678,619.277,677.727,155.254,289.695,2111.303,419.946,1121.27,1623.964,4222.921,1447.886,697.831,419.318,3694.965,2582.844,1114.281,3875.826
6/5/2016 2:00,5586.489,587.167,652.114,145.514,282.814,2000.25,402.722,1055.605,1574.218,3972.432,1384.538,669.099,399.387,3571.923,2537.644,1058.901,3674.302
6/5/2016 3:00,5444.184,571.96,642.653,137.488,280.576,1967.36,397.582,1022.145,1580.031,3858.585,1370.708,652.4,386.127,3535.482,2522.32,1048.597,3593.968
6/5/2016 4:00,5100.772,528.934,613.883,123.516,261.589,1839.719,373.607,946.881,1524.28,3591.764,1307.873,632.125,356.311,3431.439,2489.666,996.747,3369.263
6/5/2016 5:00,4659.486,475.761,579.576,109.3,244.945,1682.733,337.54,847.302,1418.262,3293.437,1206.425,598.307,322.726,3280.871,2395.107,924.058,3086.638
6/5/2016 6:00,4260.154,431.482,547.731,97.947,230.432,1544.629,307.877,766.901,1340.274,3012.482,1115.409,567.161,293.237,3120.53,2273.7,864.008,2829.399
6/5/2016 7:00,3995.337,401.612,523.684,89.404,216.637,1442.054,288.389,712.943,1288.482,2822.895,1049.69,547.035,273.186,3021.368,2184.441,814.77,2655.377
6/5/2016 8:00,3836.643,384.809,516.415,83.18,207.619,1374.246,275.413,678.088,1245.732,2692.078,1006.61,526.794,259.907,2934.174,2150.124,776.399,2552.995
6/5/2016 9:00,3725.916,369.933,547.516,79.478,201.78,1327.47,265.94,653.002,1181.417,2600.55,981.644,519.163,251.108,2885.154,2130.052,758.636,2486.273
6/5/2016 10:00,3663.545,368.192,546.233,77.852,197.695,1308.242,260.373,642.26,1193.478,2571.918,970.446,518.603,249.489,2867.418,2128.491,749.31,2464.812
6/5/2016 11:00,3665.259,368.797,543.498,77.598,192.535,1303.887,260.147,639.633,1212.976,2565.649,964.71,524.646,248.884,2865.891,2126.827,746.411,2469.913
6/5/2016 12:00,3617.653,367.396,540.301,77.808,185.38,1287.601,258.991,632.991,1204.963,2545.726,959.479,520.538,242.594,2855.08,2130.022,736.948,2444.309
6/5/2016 13:00,3807.733,399.45,508.999,84.892,190.852,1361.05,281.475,680.616,1273.3,2621.942,1026.786,524.832,258.687,2859.593,2215.695,768.436,2577.884
6/5/2016 14:00,4180.337,445.867,541.965,96.888,204.181,1480.866,311.942,753.627,1333.25,2822.597,1126.574,543.218,281.887,2974.916,2327.922,829.37,2798.787
6/5/2016 15:00,4556.591,483.802,568.52,108.846,217.973,1615.023,342.407,831.189,1412.317,3034.031,1223.182,569.339,303.715,3105.156,2415.746,888.182,3017.525
6/5/2016 16:00,4918.538,513.368,594.378,121.087,230.749,1739.584,369.85,904.795,1478.757,3251.763,1306.58,595.98,324.894,3235.875,2487.577,930.05,3215.504
6/5/2016 17:00,5292.702,540.034,616.659,131.765,241.276,1839.64,392.573,972.833,1559.874,3505.881,1389.138,620.627,344.152,3357.095,2566.568,972.032,3400.52
6/5/2016 18:00,5649.861,568.249,678.772,141.846,250.662,1933.917,412.959,1021.805,1594.874,3714.27,1464.758,641.367,364.958,3494.794,2621.755,1015.029,3578.781
6/5/2016 19:00,5939.012,587.064,671.327,150.779,259.265,2011.583,432.928,1062.093,1657.727,3901.976,1526.904,662.869,382.351,3631.052,2667.586,1053.171,3736.192
6/5/2016 20:00,6183.402,601.782,677.714,157.481,266.821,2088.148,450.278,1102.54,1673.277,4053.67,1592.704,682.075,394.987,3750.332,2695.213,1088.284,3877.786
6/5/2016 21:00,6366.802,621.149,690.651,164.196,275.047,2177.869,471.412,1153.965,1722.32,4177.831,1654.631,701.929,410.862,3860.946,2746.466,1120.018,4024.317
6/5/2016 22:00,6493.259,640.436,702.643,170.398,283.624,2259.941,492.336,1201.339,1763.444,4302.445,1722.241,717.016,424.962,3960.11,2823.959,1147.046,4141.453
6/5/2016 23:00,6475.77,652.122,703.177,174.354,290.442,2321.262,509.298,1239.212,1799.847,4353.882,1779.461,728.196,434.398,4005.169,2880.447,1163.168,4232.86
6/6/2016,6368.124,650.432,698.513,172.092,288.67,2322.666,511.416,1243.36,1832.63,4328.435,1788.986,731.322,431.261,3988.127,2877.197,1159.699,4236.964
