OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,YEAR,PEAK_MONTH,AVAIL_CAP,PLAN_OUT,UNPLAN_OUT,OTHER_OUT,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,SHAPE__Area,SHAPE__Length
1,1,NEW BRUNSWICK SYSTEM OPERATOR,515 KING STREET,FREDERICTON,NB,E3B 4X1,(800) 663-6272,CAN,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-11-09T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.nbpower.com/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,107180165890.762,3732464.4846618
2,189,POWERSOUTH ENERGY COOPERATIVE,2027 EAST THREE NOTCH STREET,ANDALUSIA,AL,36421,(334) 427-3000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.powersouth.com/,2016,1,21848,1384,800,0,30640,1916,531,136631363639.266,4080143.31914104
3,317,"ALCOA POWER GENERATING, INC. - YADKIN DIVISION",201 ISABELLA ST. SUITE 500,PITTSBURG,PA,NOT AVAILABLE,(412) 315-2900,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.alcoa.com/,2016,1,2547,70,11,0,2628,10,1,1280621002.32813,163527.935497666
4,599,ANCHORAGE MUNICIPAL LIGHT AND POWER,1200 EAST FIRST AVENUE,ANCHORAGE,AK,99501,(435) 477-3331,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-11-09T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://parowan.org/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,18852252701.375,971198.312637156
5,803,ARIZONA PUBLIC SERVICE COMPANY,MS # 9997,PHOENIX,AZ,85072,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://webcache.googleusercontent.com/search?q=cache:JDyOjDQm7XQJ:https://www.aps.com/en/globalservices/serviceareamaps+&cd=1&hl=en&ct=clnk&gl=us,2016,6,71475,8217,3239,928,90516,7275,2260,417187835637,3088439.99400146
6,924,"ASSOCIATED ELECTRIC COOPERATIVE, INC.",2814 S GOLDEN AVE,SPRINGFIELD,MO,65807,(417) 881-1204,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.aeci.org/,2016,12,61242,6162,612,0,73752,4521,1143,435974306030.926,6086680.08667268
7,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713 ,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.bpa.gov/,2016,12,254766,63994,10039,0,478749,9739,4105,1419380655058.04,21257852.3823704
8,2775,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,250 OUTCROPPING WAY,FOLSOM,CA,95630,(916) 351-4400,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.caiso.com/,2016,7,659412,45835,45285,0,799412,46008,18354,674350443158.406,6981890.3676786
9,3046,PROGRESS ENERGY CAROLINAS - EAST AND WEST,1411 FAYETTEVILLE S,RALEIGH,NC,27602,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,1,160562,9326,4577,0,184704,13298,2800,164731824641.893,6979283.66719202
10,3413,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,P O  BOX 1231,WENATCHEE,WA,98807,(509) 663-8121,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.chelanpud-org/index-html,2016,12,16010,1185,4659,0,21854,437,102,74093236735.1953,2002793.74954861
11,3522,CHUGACH ELECTRIC ASSN INC,5601 ELECTRON DR,ANCHORAGE,AK,99519,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,1,5916,251,18,0,5705,529,92,191519871101.992,8360715.94587843
12,5326,PUD NO. 1 OF DOUGLAS COUNTY,1151 VALLEY MALL PARKWAY,EAST WENATCHEE,WA,98802,(800) 503-7990,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.douglaspud-org/,2016,12,8510,975,635,0,10960,386,93,41961107523.3516,1177509.28142802
