State,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck  - 300 mi,Transit Bus,MDV Truck,HDV Truck
ALABAMA,70937460.17,31307390.67,28805512.79,0.407697097,12134.84164,0.407697097,2669.376941,1456041.488,1686180.65
ALASKA,4214404.287,4488015.746,1711339.485,0.334557272,720.9326225,0.334557272,103909.833,216207.5754,52767.58706
ARIZONA,62692543.83,29630013.43,25457506.78,0.382830751,10724.43375,0.382830751,5822.285834,1321659.828,1650427.313
ARKANSAS,33831006.6,16380806.79,13737727.45,0.401592323,5787.265389,0.401592323,6421.244552,682970.9586,1344228.964
CALIFORNIA,308380789.9,328401773.3,125223919.3,0.346934618,52752.83444,0.346934618,29380.03015,6714392.66,6535977.987
COLORADO,54482126.76,25749571.63,22123509.86,0.40000204,9319.927432,0.40000204,5555.198279,639450.4481,946347.0959
CONNECTICUT,39042376.37,19722825.07,15853903.84,0.42749645,6678.742853,0.42749645,1791.583853,428944.7538,299672.5639
DELAWARE,7495223.547,3811533.598,3043578.911,0.413914855,1282.162495,0.413914855,822.0373593,168942.5681,50776.58981
DISTRICT OF COLUMBIA,17990725.37,9148793.732,7305478.215,1,3077.564423,1,69.10676051,388615.1874,400458.405
FLORIDA,225425776.6,114635396.3,91538449.17,0.415564663,38562.22225,0.415564663,23818.81193,4438284.024,4500715.544
GEORGIA,124157146.5,63137427.77,50416384.56,0.412821794,21238.81106,0.412821794,24334.06716,2007915.755,2691287.14
HAWAII,10210726.44,10873636.69,4146260.811,0.341292965,1746.687145,0.341292965,1164.49703,156714.0624,11962.22021
IDAHO,15774272.27,7455302.827,6405445.03,0.378031264,2698.409214,0.378031264,4211.909036,437173.1378,404121.5738
ILLINOIS,107489174.8,59026682.34,43648035.78,0.398038304,18387.5221,0.398038304,16706.98399,1800625.27,3438953.202
INDIANA,86017276.26,47235588.61,34928960.6,0.42183264,14714.45447,0.42183264,11363.30973,1929786.647,2461721.357
IOWA,33058488.67,14745951.98,13424031.76,0.403741987,5655.115421,0.403741987,2732.861644,514970.0983,983497.3545
KANSAS,31055033.44,13852297.86,12610490.44,0.398429113,5312.396471,0.398429113,3945.516492,589504.5382,1082274.041
KENTUCKY,49643945.76,21909755.45,20158873.9,0.391646882,8492.289107,0.391646882,2004.393085,1118976.053,1125623.112
LOUISIANA,48714533.23,23587337.09,19781468.17,0.404409521,8333.300142,0.404409521,5567.481951,1650628.921,1459967.111
MAINE,16983362.77,8579393.064,6896419.359,0.42296825,2905.241004,0.42296825,11953.49373,316502.5993,200136.3675
MARYLAND,67430637.28,34290390.12,27381500.27,0.426103856,11534.9507,0.426103856,4443.713719,1355107.994,731806.0923
MASSACHUSETTS,70165657.67,35445203.92,28492107.62,0.420380921,12002.81408,0.420380921,2938.143751,936550.3466,530432.3132
MICHIGAN,111127981.5,61024899.24,45125642.85,0.409127422,19009.99072,0.409127422,17891.63193,1335908.321,1928702.97
MINNESOTA,64887615.05,28943538.99,26348857.44,0.398149086,11099.93128,0.398149086,4042.644742,853165.1458,781480.6451
MISSISSIPPI,41090126.36,18134630.64,16685431.89,0.401465639,7029.039033,0.401465639,2418.173428,785168.8437,1224199.248
MISSOURI,71699245.06,31981910.47,29114850.12,0.402958574,12265.15557,0.402958574,3376.409666,1480236.09,2605801.004
MONTANA,12043463.17,5692032.159,4890478.623,0.373097028,2060.202299,0.373097028,7310.431789,145937.3527,333462.0732
NEBRASKA,19634453.46,8758074.537,7972945.449,0.395851712,3358.747027,0.395851712,3684.648177,282747.4228,749222.4172
NEVADA,26781537.3,12657602.67,10875155.57,0.390994374,4581.355373,0.390994374,5767.206842,352422.1635,582430.237
NEW HAMPSHIRE,15171524.2,7664116.42,6160687.644,0.41000166,2595.300754,0.41000166,3208.216954,292854.3927,93407.86618
NEW JERSEY,89184811.13,45225994.98,36215198.73,0.408945455,15256.30546,0.408945455,13462.59844,1258811.777,637837.2399
NEW MEXICO,22815490.49,10783152.96,9264666.391,0.386387265,3902.907766,0.386387265,6267.878082,880530.5728,1029249.992
NEW YORK,145848412.4,73960346.89,59224538.07,0.417227566,24949.40454,0.417227566,87396.98849,3051112.96,2624955.364
NORTH CAROLINA,126911057.3,64537869.44,51534662.72,0.418690387,21709.90589,0.418690387,21050.95908,1951014.02,1694959.986
NORTH DAKOTA,9112367.903,4064630.446,3700251.314,0.399105313,1558.797584,0.399105313,3394.810795,400457.4292,531564.0237
OHIO,122200112.1,67105056.96,49621693.29,0.418361733,20904.03305,0.418361733,12866.07042,1871218.655,3885816.627
OKLAHOMA,45404409.89,21984591.67,18437329.26,0.397726283,7767.057391,0.397726283,8357.000754,1866853.383,1679793.181
OREGON,29643559.77,31568106.42,12037334.55,0.351885069,5070.944274,0.351885069,17925.58501,1340496.532,918843.5856
PENNSYLVANIA,113012337.7,57309034.5,45890821.74,0.423428824,19332.33612,0.423428824,81764.16013,2599587.599,2300364.158
RHODE ISLAND,9088399.589,4591137.423,3690518.521,0.427541137,1554.697471,0.427541137,424.0226813,247214.3412,74925.97151
SOUTH CAROLINA,58725972.66,29863821.47,23846804.67,0.421416184,10045.89645,0.421416184,13100.56461,824187.2443,886230.9957
SOUTH DAKOTA,9293103.54,4145248.742,3773642.477,0.393453829,1589.714934,0.393453829,3646.982031,167282.5447,324075.438
TENNESSEE,80041301.62,35325261.06,32502301.77,0.405036983,13692.18066,0.405036983,2162.717866,737047.1869,1873928.798
TEXAS,228241018.8,110513177.3,92681632.1,0.388085445,39043.80865,0.388085445,31582.86487,6553803.876,9569206.595
UTAH,23795126.78,11246152.78,9662466.446,0.387478561,4070.488212,0.387478561,4388.571955,1963725.497,842022.7842
VERMONT,8190950.783,4137778.088,3326092.265,0.416148724,1401.176339,0.416148724,3379.52796,233549.7148,58343.57439
VIRGINIA,90736735.75,46142201.72,36845387.41,0.398785691,15521.78381,0.398785691,16142.94922,651069.9297,1565460.326
WASHINGTON,55986315.7,59621111.15,22734314.55,0.350299981,9577.240021,0.350299981,12881.89529,1137863.895,908565.6417
WEST VIRGINIA,21379701.55,10872184.16,8681636.824,0.424302825,3657.296051,0.424302825,10337.98028,570059.0601,446150.7767
WISCONSIN,66247268.59,36379072.46,26900970.77,0.410457669,11332.519,0.410457669,17161.39713,1549666.289,1222846.024
WYOMING,9238705.551,4366435.829,3751553.133,0.391150715,1580.409401,0.391150715,5104.134098,126390.5389,363307.5969
