State,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi,Transit Bus,MDV Truck,HDV Truck
ALABAMA,982989633.3,2114984685,4876432372,2617108531,3609742596,4366290816,4383449.578,1065068390,894795017.4
ALASKA,58399539.72,125651546.9,289709598.7,155482780.3,214455307.6,259401942.1,198654393.5,158151986.9,28001847.84
ARIZONA,868738745.3,1869164339,4309654641,2312927345,3190189577,3858805740,12383159.27,966770601.5,875822016.3
ARKANSAS,468800663.4,1008663987,2325634700,1248133439,1721533664,2082341448,14331251.68,499581080.2,713333639.1
CALIFORNIA,4273272084,9194306156,21198933183,11377148310,15692347637,18981229696,56168621.41,4911458527,3468406863
COLORADO,754965926.7,1624372569,3745248416,2010018945,2772392095,3353444136,11815102.7,467746602.6,502192138.4
CONNECTICUT,541015289.8,1164039830,2683878347,1440397445,1986720823,2403107881,2866910.991,313765440.2,159025379.1
DELAWARE,103862287.9,223468435.1,515241900.9,276522636.5,381403953.2,461340534.3,1668228.642,123578476.6,26945297.69
DISTRICT OF COLUMBIA,249299822.3,536389504.7,1236731030,663735081.7,915480870.7,1107352009,140244.0849,284265081.3,212508775.7
FLORIDA,3123754317,6721019757,15496376450,8316673906,11471076456,13875243024,48337492.02,3246525638,2388366777
GEORGIA,1720461734,3701717910,8534897429,4580552038,6317893816,7642030147,49383142.21,1468754578,1428168639
HAWAII,141491343.5,304430587.3,701913072.1,376706179.2,519585766.1,628483194.5,2226280.657,114633542.7,6347917.137
IDAHO,218586145.4,470306441.6,1084366043,581963076.5,802693843.9,970926503.7,8958120.902,319784356.4,214452686.7
ILLINOIS,1489491464,3204766039,7389096188,3965617549,5469722947,6616095312,24669492.12,1317125283,1824927946
INDIANA,1191952576,2564586120,5913059889,3173450916,4377098165,5294472669,16779035.65,1411604528,1306346390
IOWA,458095786.6,985631528.5,2272529694,1219632794,1682223108,2034791986,4610337.271,376691446,521906435.5
KANSAS,430333646.4,925898954,2134806777,1145718958,1580274749,1911476771,6656085.855,431212060,574323646.5
KENTUCKY,687922628.2,1480123262,3412658751,1831523058,2526195119,3055647946,3291463.221,818511033.5,597327428.8
LOUISIANA,675043629.9,1452413046,3348768490,1797234075,2478900787,2998441426,12425782.01,1207405628,774751683.4
MAINE,235340667.9,506355210.9,1167482204,626570271.2,864219947.5,1045347561,19128104.15,231516008.8,106205123.7
MARYLAND,934395114.3,2010429562,4635364044,2487730684,3431293472,4150441416,9017997.077,991237339,388342995.9
MASSACHUSETTS,972294648.7,2091973590,4823376722,2588634286,3570468452,4318785396,4701647.984,685069881.7,281481222.7
MICHIGAN,1539914882,3313256257,7639237587,4099864702,5654888239,6840068487,26418740.41,977193120.2,1023492831
MINNESOTA,899156139.6,1934609892,4460549708,2393910503,3301888558,3993915161,6819941.201,624075094,414703482.4
MISSISSIPPI,569391237.7,1225093029,2824646130,1515945454,2090923175,2529149492,3970942.106,574337011.2,649638215.1
MISSOURI,993545784.6,2137697135,4928799531,2645213199,3648506987,4413179645,5696002.707,1082766310,1382804242
