UA,State,UA Number,Census Division,Census Division 2,Census Division 3,Total Number of Census Divisions,Weight Factor - 1st,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck  - 300 mi,Transit Bus,MDV Truck,HDV Truck
Anchorage,AK,1,9,0,0,1,1,45501592.35,97900494.25,225725104.7,121143297.4,167091320.8,202111169.9,202905.4316,49300.9347,41419.1531
Fairbanks,AK,2,9,0,0,1,1,16433186.19,35357379.1,81522040.94,43751663.63,60346081.16,72993719.89,73280.57248,17805.34257,14958.78759
Anniston--Oxford,AL,3,6,0,0,1,1,37787755.42,81303550.42,187458249,100606020.2,138764530.5,167847506.9,128540458.9,102333.1456,18118.75543
Auburn,AL,4,6,0,0,1,1,32578576.34,70095561.24,161616449.8,86737115.61,119635336.9,144709119.5,110820690.6,88226.15045,15621.01931
Birmingham,AL,5,6,0,0,1,1,352978967.4,759464089.7,1751065085,939770270.6,1296212494,1567879304,1200708482,955903.5103,169248.9938
Daphne--Fairhope,AL,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0
Decatur,AL,7,6,0,0,1,1,16898468.62,36358483.85,83830259.36,44990438.21,62054706.29,75060447.36,57482559.8,45762.79881,8102.604049
Dothan,AL,8,6,0,0,1,1,34997150.34,75299327.67,173614559.8,93176320.64,128516845.8,155452060.2,119047816.3,94775.89871,16780.69525
Florence,AL,9,6,0,0,1,1,28180976.06,60633752.45,139800746.8,75028956.23,103486430.2,125175642.7,95861623.81,76316.99457,13512.42505
Gadsden,AL,10,6,0,0,1,1,32897852.72,70782511.34,163200322.3,87587156.18,120807786.4,146127297,111906754.9,89090.78386,15774.10833
Huntsville,AL,11,6,0,0,1,1,110076431.3,236838747.9,546069350.5,293067199.9,404223646.9,488942895.5,374440737,298098.3479,52780.27009
Mobile,AL,12,6,0,0,1,1,147577468.5,317525399.8,732105242,392909862.2,541935288.2,655516843.2,502005882.7,399655.0309,70761.54772
Montgomery,AL,13,6,0,0,1,1,120134380.6,258479276.1,595965025.5,319845457.5,441158537.5,533618788.4,408654291.2,325336.3138,57602.9308
Tuscaloosa,AL,14,6,0,0,1,1,53315238.3,114712242.5,264487295,141946349.6,195784690.8,236818242.5,181359414.4,144383.1733,25563.98899
Conway,AR,15,7,0,0,1,1,0,0,0,0,0,0,0,0,0
Hot Springs,AR,16,7,0,0,1,1,18470919.8,39741734.54,91630867.95,49176919.68,67829063.87,82045024.18,263287.8331,20555.25018,18621.52265
Jonesboro,AR,17,7,0,0,1,1,21634884.16,46549269.47,107326718.7,57600648.59,79447799.85,96098873.97,308387.5536,24076.24857,21811.28443
Little Rock,AR,18,7,0,0,1,1,179630061.1,386489155.8,891112006.3,478246518.2,659638990,797889485.7,2560479.394,199900.2153,181094.6768
Pine Bluff,AR,19,7,0,0,1,1,18362371.32,39508183.37,91092378.71,48887920.54,67430451.24,81562868.29,261740.5634,20434.45267,18512.08912
Fayetteville--Springdale--Rogers,AR--MO,20,7,4,0,2,0.5,87439480.21,188133382,433771330.8,232798601.3,321095979.5,388392908.6,1246378.173,97306.49097,88152.41898
Fort Smith,AR--OK,21,7,0,0,1,1,39957920.72,85972820.79,198223964.8,106383844.4,146733805.6,177487023.2,569567.4321,44466.92778,40283.71807
Avondale--Goodyear,AZ,22,8,0,0,1,1,40196313.12,86485742.51,199406587.7,107018539.9,147609232.7,178545926.7,1228802.612,42835.51431,61163.27162
Casa Grande,AZ,23,8,0,0,1,1,0,0,0,0,0,0,0,0,0
Flagstaff,AZ,24,8,0,0,1,1,17951797.44,38624799.4,89055597.19,47794810.05,65922738.65,79739161.62,548787.0372,19130.47283,27315.70578
Lake Havasu City,AZ,25,8,0,0,1,1,0,0,0,0,0,0,0,0,0
Phoenix--Mesa,AZ,26,8,0,0,1,1,989165076.5,2128271711,4907067770,2633550045,3632420155,4393721252,30238808.88,1054111.472,1505127.4
Prescott Valley--Prescott,AZ,27,8,0,0,1,1,0,0,0,0,0,0,0,0,0
Sierra Vista,AZ,28,8,0,0,1,1,0,0,0,0,0,0,0,0,0
Tucson,AZ,29,8,0,0,1,1,233098898.9,501531851.7,1156361179,620601788.5,855987699.5,1035389957,7125840.995,248403.658,354686.5411
Yuma,AZ--CA,30,8,9,0,2,0.5,22921959.43,49318520.21,113711665.5,61027353.99,84174208.51,101815867.4,700725.0525,24426.96468,34878.3737
Antioch,CA,31,9,0,0,1,1,53040224.48,114120527.1,263123001,141214153.6,194774782.6,235596672.6,697169.8104,60961.45007,43050.16741
Arroyo Grande--Grover Beach,CA,32,9,0,0,1,1,0,0,0,0,0,0,0,0,0
Bakersfield,CA,33,9,0,0,1,1,110213675.9,237134041.4,546750196.5,293432599.7,404727638,489552515.6,1448667.465,126673.3987,89455.07387
