State,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
AK,279178979.8014095,50309833.72189009,120072798.10311696,222793848.29905614,474014395.4352465,305686357.3250745,367725642.8115837,391814477.12759256
AL,1405085585.797939,1201453500.1479378,1510432512.4406638,2802591626.101792,5962770648.80495,3845321987.825454,4625733095.072098,4928753894.125713
AR,753278624.8857294,1094713548.5889297,823313025.445572,1527648668.197114,3250212635.016293,2096024597.824428,2521414430.557106,2686586307.055273
AZ,866207169.1155957,798679106.8160391,906597748.716374,1682182592.1856284,3578997722.0761285,2308054311.9083323,2776475741.074626,2958356078.811732
CA,3040052953.5647135,2185037179.9693346,3080763473.896341,5716325103.53498,12162007204.195034,7843136655.370978,9434907378.572803,10052965773.662163
CO,470985671.58821726,514665539.4435458,885424452.1647376,1642895763.0171504,3495411390.39326,2254150451.5992703,2711632050.1241117,2889264631.529069
CT,123707637.03160857,63814000.54225059,248443736.79411748,460984745.7017947,980787325.0828393,632498416.7584264,760864465.5098672,810706891.2555124
DE,154224162.12417674,34225570.42556707,150971363.07679072,280125779.67971206,595993288.0091454,384349186.6650619,462353154.9372352,492640813.03910387
FL,1825263151.6782749,1366676723.6252182,2045552487.842844,3795501172.240806,8075276848.395662,5207652755.861995,6264549958.807686,6674925761.996916
GA,1374877013.8384786,1360668206.0236127,1875800919.003045,3480528917.874157,7405144489.545051,4775492138.8481,5744682006.309268,6121002493.480316
HI,134086000.51048924,7557203.177257245,192765245.71657237,357673941.0588737,760984193.3624082,490749834.37437147,590347897.381259,629020187.3529103
IA,604472322.5287982,852396074.5361693,856197714.6416956,1588665848.00729,3380032256.3771844,2179743797.349198,2622124507.154274,2793893661.804034
ID,524732544.7037771,358154493.8367398,417763530.28693765,775155838.7319077,1649215129.1798446,1063559796.8360572,1279410090.0754063,1363221209.2739882
IL,830074494.5104241,1170560411.0792756,1093339688.4670057,2028680337.9206173,4316203512.390237,2783469751.742276,3348377116.5409117,3567721356.369183
IN,1570306128.9790475,1479066699.863347,1544391386.816395,2865602038.906432,6096831203.144706,3931775966.2435093,4729732976.0795145,5039566560.565547
KS,556676216.1876909,754617013.92447,647059438.4567162,1200611977.7336054,2554412066.717866,1647310864.5034423,1981633893.84059,2111446028.1773086
KY,1239946453.0744374,920977408.7010312,1213794296.430553,2252182539.085817,4791724850.2205305,3090128064.8544617,3717271974.327371,3960781640.9703307
LA,1405136159.361283,917668595.7586852,915006469.6225458,1697784890.4481256,3612193050.2427764,2329461587.7835784,2802227640.3446975,2985794923.8985143
MA,179626242.15420398,75117731.74521166,296933989.8522575,550957901.2478576,1172213465.275274,755946923.3831071,909366943.1798681,968937413.8689069
MD,654876317.292705,261129078.15405947,719017233.608858,1334128930.5666687,2838481659.4377174,1830504032.7095792,2202006258.9234567,2346254463.994105
ME,398046472.3386384,185847339.6425205,471277648.68537176,874450730.1232545,1860474127.4218354,1199798274.2231448,1443298273.0850334,1537845318.2763903
MI,821837556.1694175,876089580.4341286,1508444758.7554138,2798903447.1228433,5954923830.777265,3840261542.190031,4619645628.03404,4922267651.566423
MN,770374479.010224,521027739.2811542,1292787830.744895,2398754213.3107977,5103569530.547351,3291233096.2410645,3959191429.2431817,4218548665.34779
MO,1201046645.442484,1561147615.632219,1283630802.9159985,2381763444.5523124,5067420112.130405,3267920753.4598823,3931147828.2474785,4188667994.5931077
MS,959084193.1768558,1104128502.1842034,1107459400.2167656,2054879258.5773666,4371944030.57785,2819416258.0599313,3391618994.45185,3613795907.0971317
