branch_id,kV,circuits,conductors,notes
101536,161,2,4,TVA Cumberland (between substations)
103726,161,2,4,TVA Cumberland (plant to substation)
110220,115,1,2,Riverside Generating Station
112166,230,1,2,Waterford 3 Nuclear Generating Station
116493,230,1,2,Herbert A. Wagner Generating Station
130105,161,1,3,TVA Cumberland (downstream)
132671,230,1,3,Florida Power & Light St. Lucie
132804,230,1,2,Waterford 3 Nuclear Generating Station
139216,230,4,3,Catawba Nuclear Station
140651,230,1,3,Florida Power & Light St. Lucie
144276,230,4,3,Turkey Point Nuclear Generating Station
147054,115,1,2,RE Ginna Nuclear Power Plant
158263,100,1,4,G. G. Allen Steam Station
160723,230,1,3,Florida Power & Light St. Lucie
203381,230,1,2,Midpoint to Boise Bench
203382,230,1,2,Midpoint to Boise Bench
203383,230,1,2,Midpoint to Boise Bench
300023,138,1,2,Southeast of Houston (TX)
300029,69,2,1,Ormat Brawley geothermal
300101,138,1,2,TH Wharton Generating Station
300125,138,2,2,Carrollton (TX)
300151,138,2,2,South of Lake Arlington (TX)
300181,138,2,1,Tomball to Pinehurst (TX)
300225,138,1,2,Corpus Christi (TX)
300342,138,1,2,W.A. Parish Generating Station
300374,138,1,2,San Antonio (TX)
300415,138,2,2,Chambersville substation to Chambersville Cemetary (TX)
300437,138,1,2,North San Antonio
300481,138,1,2,South Houston (TX)
300498,138,1,2,Los Fresnos (TX)
300872,138,1,2,North of Jersey City (TX)
301017,138,1,2,Northwest of Houston
301082,138,1,2,Houston (TX)
301247,138,1,2,Ingleside (TX)
301275,138,1,2,CPS Energy Braunig Power Station
301320,138,2,2,Collin/Frisco substation connection
301344,138,1,2,San Antonio (TX)
301624,138,1,2,Edinburg (TX)
301666,138,1,2,East of DFW airport
301741,138,1,2,Austin (TX)
301814,138,2,2,Sunnyvale (TX)
301847,115,1,2,Coso Power Station
301891,138,2,2,The Colony (TX)
301933,138,1,2,Chocolate Bayou to Danbury (TX)
302082,69,1,2,Victoria (TX)
302122,69,1,2,Copperas Cove (TX)
302230,138,1,2,W.A. Parish Generating Station
302236,138,1,2,San Marcos (TX)
302238,138,1,2,Austin (TX)
302247,138,1,2,Chambersville Cemetary to Chambersville Rd substation (TX)
302287,138,2,2,Fresno (TX)
302300,138,2,2,Northwest of Houston
302389,138,1,2,Haltom City (TX)
302404,138,2,2,TH Wharton Generating Station
302485,138,1,2,Edinburg (TX)
302501,138,1,2,San Marcos (TX)
302532,138,1,2,Northwest of Houston
302592,138,1,2,Northwest of San Antonio
302731,138,1,2,Athens (TX)
302842,138,2,1,General Motors (Arlington TX)
302878,138,1,2,Chambersville Cemetary to Chambersville Rd substation (TX)
302954,138,2,2,Corpus Christi (TX)
303007,138,2,1,Lake Hubbard Generating Station
303094,138,2,2,W.A. Parish Generating Station
303225,138,1,2,Wharton (TX)
303259,138,1,2,Austin (TX)
303266,138,1,2,Dallas (TX)
303268,138,1,2,East of DFW airport
303326,69,2,2,Paris (TX)
303395,138,1,2,Edinburg (TX)
303467,138,2,2,Southeastern Houston
303493,138,1,2,Northwest of San Antonio (TX)
303500,138,1,2,Corpus Christi (TX)
303557,138,2,2,West Levee substations connection (Dallas)
303566,138,2,1,General Motors (Arlington TX)
303581,138,1,2,Indian Lake (TX)
303602,138,1,2,Victoria (TX)
303615,138,1,2,Odessa (TX)
303623,138,2,1,Lake Hubbard Generating Station
304022,69,1,2,Corpus Christi (TX)
304039,138,2,1,General Motors (Arlington TX)
304048,69,2,2,Southeast of San Antonio (connects two 345 kV buses)
304064,138,1,2,Austin (TX)
304085,69,1,2,Milby Park Houston (TX)
304089,69,1,2,Victoria (TX)
304142,138,1,2,Western Fort Worth
304145,138,2,2,Edinburg (TX)
304214,69,2,2,substation connection west of Corpus Christi (TX)
304289,138,1,2,Chocolate Bayou to Danbury (TX)
304413,138,1,2,Lady Bird Lake (TX)
304515,138,1,2,Wharton (TX)
304602,69,2,2,Guadalupe Energy Center
304613,138,4,2,San Benito substation connection (South Texas)
304645,69,2,2,Weatherford (TX)
304673,138,1,2,Temple (TX)
304779,69,1,2,Handley Power Plant (Lake Arlington TX)
304841,138,1,2,Austin (TX)
304908,69,2,1,Heber geothermal
305018,138,4,2,TH Wharton Generating Station
