bus_id,Pd,zone_id,baseKV,interconnect
107655,0,51,115.0,Eastern
107656,0,51,92.0,Eastern
107657,0,51,115.0,Eastern
107658,0,51,103.5,Eastern
107659,0,20,138.0,Eastern
107660,0,51,138.0,Eastern
107662,0,51,138.0,Eastern
107663,0,51,161.0,Eastern
107664,0,1,161.0,Eastern
107666,0,9,172.5,Eastern
107668,0,8,69.0,Eastern
107669,0,8,69.0,Eastern
107670,0,8,69.0,Eastern
107671,0,8,69.0,Eastern
107672,0,8,69.0,Eastern
107673,0,8,69.0,Eastern
107674,0,8,230.0,Eastern
107675,0,8,115.0,Eastern
107677,0,8,115.0,Eastern
107678,0,8,69.0,Eastern
107679,0,8,92.0,Eastern
107680,0,8,69.0,Eastern
107685,0,8,115.0,Eastern
107686,0,8,115.0,Eastern
107687,0,8,115.0,Eastern
107688,0,8,69.0,Eastern
107689,0,9,92.0,Eastern
107690,0,8,115.0,Eastern
107692,0,8,115.0,Eastern
107693,0,8,69.0,Eastern
107694,0,8,92.0,Eastern
107695,0,8,115.0,Eastern
107698,0,8,115.0,Eastern
107700,0,8,115.0,Eastern
107701,0,8,115.0,Eastern
107702,0,8,115.0,Eastern
107703,0,8,115.0,Eastern
107704,0,2,161.0,Eastern
107706,0,2,161.0,Eastern
107708,0,2,161.0,Eastern
107709,0,2,115.0,Eastern
107711,0,2,69.0,Eastern
107712,0,2,69.0,Eastern
107713,0,2,115.0,Eastern
107714,0,2,115.0,Eastern
107715,0,2,115.0,Eastern
107716,0,2,161.0,Eastern
107717,0,2,161.0,Eastern
107718,0,2,115.0,Eastern
107719,0,2,115.0,Eastern
107720,0,2,115.0,Eastern
107721,0,2,115.0,Eastern
107722,0,2,115.0,Eastern
107723,0,2,115.0,Eastern
107724,0,2,115.0,Eastern
107725,0,2,115.0,Eastern
107726,0,2,115.0,Eastern
107727,0,2,161.0,Eastern
107728,0,2,115.0,Eastern
107729,0,2,115.0,Eastern
107730,0,2,115.0,Eastern
107731,0,2,126.5,Eastern
107733,0,2,69.0,Eastern
107734,0,2,69.0,Eastern
107735,0,2,69.0,Eastern
107736,0,2,161.0,Eastern
107737,0,2,69.0,Eastern
107738,0,2,161.0,Eastern
107739,0,2,69.0,Eastern
107740,0,2,161.0,Eastern
107741,0,2,161.0,Eastern
107743,0,2,69.0,Eastern
107744,0,2,69.0,Eastern
107745,0,2,69.0,Eastern
107748,0,2,69.0,Eastern
107749,0,2,161.0,Eastern
107750,0,2,161.0,Eastern
107751,0,2,115.0,Eastern
107752,0,2,115.0,Eastern
107753,0,2,115.0,Eastern
107754,0,2,161.0,Eastern
107755,0,2,115.0,Eastern
107756,0,2,115.0,Eastern
107757,0,2,115.0,Eastern
107758,0,2,115.0,Eastern
107759,0,2,138.0,Eastern
107760,0,2,115.0,Eastern
107761,0,2,115.0,Eastern
107762,0,2,115.0,Eastern
107763,0,2,115.0,Eastern
107765,0,2,115.0,Eastern
107766,0,2,115.0,Eastern
107767,0,2,115.0,Eastern
107768,0,2,115.0,Eastern
107769,0,2,115.0,Eastern
107770,0,2,115.0,Eastern
107771,0,2,115.0,Eastern
107772,0,2,115.0,Eastern
107773,0,2,115.0,Eastern
107774,0,2,115.0,Eastern
107775,0,2,115.0,Eastern
107776,0,2,115.0,Eastern
107777,0,2,115.0,Eastern
107778,0,2,115.0,Eastern
107779,0,2,115.0,Eastern
107780,0,2,115.0,Eastern
107781,0,2,161.0,Eastern
107782,0,2,138.0,Eastern
107783,0,2,115.0,Eastern
107784,0,2,115.0,Eastern
107785,0,2,161.0,Eastern
107786,0,2,161.0,Eastern
107787,0,2,161.0,Eastern
107788,0,2,161.0,Eastern
107789,0,2,161.0,Eastern
107790,0,2,115.0,Eastern
107791,0,2,115.0,Eastern
107792,0,2,115.0,Eastern
107793,0,2,115.0,Eastern
107794,0,2,115.0,Eastern
107795,0,2,115.0,Eastern
107796,0,2,115.0,Eastern
107797,0,2,115.0,Eastern
107800,0,2,161.0,Eastern
107801,0,2,161.0,Eastern
107802,0,2,161.0,Eastern
107803,0,2,161.0,Eastern
107804,0,2,69.0,Eastern
107805,0,2,69.0,Eastern
