Bus_id,sub_id,interconnect
107655,107655,Eastern
107656,107656,Eastern
107657,107657,Eastern
107658,107658,Eastern
107659,107659,Eastern
107660,107660,Eastern
107662,107662,Eastern
107663,107663,Eastern
107664,107664,Eastern
107666,107666,Eastern
107668,107668,Eastern
107669,107669,Eastern
107670,107670,Eastern
107671,107671,Eastern
107672,107672,Eastern
107673,107673,Eastern
107674,107674,Eastern
107675,107675,Eastern
107677,107677,Eastern
107678,107678,Eastern
107679,107679,Eastern
107680,107680,Eastern
107685,107685,Eastern
107686,107686,Eastern
107687,107687,Eastern
107688,107688,Eastern
107689,107689,Eastern
107690,107690,Eastern
107692,107692,Eastern
107693,107693,Eastern
107694,107694,Eastern
107695,107695,Eastern
107698,107698,Eastern
107700,107700,Eastern
107701,107701,Eastern
107702,107702,Eastern
107703,107703,Eastern
107704,107704,Eastern
107706,107706,Eastern
107708,107708,Eastern
107709,107709,Eastern
107711,107711,Eastern
107712,107712,Eastern
107713,107713,Eastern
107714,107714,Eastern
107715,107715,Eastern
107716,107716,Eastern
107717,107717,Eastern
107718,107718,Eastern
107719,107719,Eastern
107720,107720,Eastern
107721,107721,Eastern
107722,107722,Eastern
107723,107723,Eastern
107724,107724,Eastern
107725,107725,Eastern
107726,107726,Eastern
107727,107727,Eastern
107728,107728,Eastern
107729,107729,Eastern
107730,107730,Eastern
107731,107731,Eastern
107733,107733,Eastern
107734,107734,Eastern
107735,107735,Eastern
107736,107736,Eastern
107737,107737,Eastern
107738,107738,Eastern
107739,107739,Eastern
107740,107740,Eastern
107741,107741,Eastern
107743,107743,Eastern
107744,107744,Eastern
107745,107745,Eastern
107748,107748,Eastern
107749,107749,Eastern
107750,107750,Eastern
107751,107751,Eastern
107752,107752,Eastern
107753,107753,Eastern
107754,107754,Eastern
107755,107755,Eastern
107756,107756,Eastern
107757,107757,Eastern
107758,107758,Eastern
107759,107759,Eastern
107760,107760,Eastern
107761,107761,Eastern
107762,107762,Eastern
107763,107763,Eastern
107765,107765,Eastern
107766,107766,Eastern
107767,107767,Eastern
107768,107768,Eastern
107769,107769,Eastern
107770,107770,Eastern
107771,107771,Eastern
107772,107772,Eastern
107773,107773,Eastern
107774,107774,Eastern
107775,107775,Eastern
107776,107776,Eastern
107777,107777,Eastern
107778,107778,Eastern
107779,107779,Eastern
107780,107780,Eastern
107781,107781,Eastern
107782,107782,Eastern
107783,107783,Eastern
107784,107784,Eastern
107785,107785,Eastern
107786,107786,Eastern
107787,107787,Eastern
107788,107788,Eastern
107789,107789,Eastern
107790,107790,Eastern
107791,107791,Eastern
107792,107792,Eastern
107793,107793,Eastern
107794,107794,Eastern
107795,107795,Eastern
107796,107796,Eastern
107797,107797,Eastern
107800,107800,Eastern
107801,107801,Eastern
107802,107802,Eastern
107803,107803,Eastern
107804,107804,Eastern
107805,107805,Eastern
107806,107806,Eastern
107807,107807,Eastern
107810,107810,Eastern
107811,107811,Eastern
107816,107816,Eastern
107817,107817,Eastern
107818,107818,Eastern
107819,107819,Eastern
107820,107820,Eastern
107821,107821,Eastern
107822,107822,Eastern
107823,107823,Eastern
107824,107824,Eastern
107825,107825,Eastern
107826,107826,Eastern
107827,107827,Eastern
107828,107828,Eastern
107829,107829,Eastern
107830,107830,Eastern
107831,107831,Eastern
107832,107832,Eastern
107833,107833,Eastern
107834,107834,Eastern
107835,107835,Eastern
107836,107836,Eastern
107837,107837,Eastern
107838,107838,Eastern
107839,107839,Eastern
107841,107841,Eastern
107842,107842,Eastern
107843,107843,Eastern
107844,107844,Eastern
107845,107845,Eastern
107847,107847,Eastern
107848,107848,Eastern
107849,107849,Eastern
107850,107850,Eastern
107851,107851,Eastern
107852,107852,Eastern
107853,107853,Eastern
107854,107854,Eastern
107855,107855,Eastern
107856,107856,Eastern
107857,107857,Eastern
107858,107858,Eastern
107859,107859,Eastern
107860,107860,Eastern
107861,107861,Eastern
107863,107863,Eastern
107864,107864,Eastern
107865,107865,Eastern
107866,107866,Eastern
107867,107867,Eastern
107868,107868,Eastern
107869,107869,Eastern
107870,107870,Eastern
107871,107871,Eastern
107872,107872,Eastern
107873,107873,Eastern
107874,107874,Eastern
107875,107875,Eastern
107876,107876,Eastern
107877,107877,Eastern
107878,107878,Eastern
107879,107879,Eastern
