plant_id,bus_id,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,mu_Pmax,mu_Pmin,mu_Qmax,mu_Qmin,type,interconnect,GenFuelCost,GenIOB,GenIOC,GenIOD,distance
1,153567,52.0,0.0,0.0,0.0,0.0,0.0,1,104.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,31170.32320857693
2,109058,131.0,0.0,0.0,0.0,0.0,0.0,1,306.2,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,116.13695696355204
4,109058,465.0,0.0,0.0,0.0,0.0,0.0,1,1192.5,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Eastern,0.0,0.0,0.0,0.0,116.13695696355204
6,109058,131.0,0.0,0.0,0.0,0.0,0.0,1,680.4,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,116.13695696355204
8,109058,131.0,0.0,0.0,0.0,0.0,0.0,1,390.4,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,116.13695696355204
12,110902,74.0,0.0,0.0,0.0,0.0,0.0,1,225.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,71.07929767826542
15,110143,28.0,0.0,0.0,0.0,0.0,0.0,1,138.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,244.99683071934444
17,112080,0.0,0.0,0.0,0.0,0.0,0.0,1,1166.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Eastern,0.0,0.0,0.0,0.0,1911.7084732195572
20,302880,3.0,0.0,0.0,0.0,0.0,0.0,1,86.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,62.543717566532194
21,110568,66.0,0.0,0.0,0.0,0.0,0.0,1,568.4,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,10163.275866816688
23,110568,66.0,0.0,0.0,0.0,0.0,0.0,1,720.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,10163.275866816688
32,110192,22.4,0.0,0.0,0.0,0.0,0.0,1,72.9,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,98.8928899979366
35,153567,45.0,0.0,0.0,0.0,0.0,0.0,1,90.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,10630.282085813384
36,155346,25.0,0.0,0.0,0.0,0.0,0.0,1,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,596.8242767803827
40,109875,41.8,0.0,0.0,0.0,0.0,0.0,1,128.10000000000002,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,17.042556248296936
43,111337,29.0,0.0,0.0,0.0,0.0,0.0,1,177.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,15394.681447668008
49,109169,40.0,0.0,0.0,0.0,0.0,0.0,1,210.6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,195.379449724886
53,155347,46.0,0.0,0.0,0.0,0.0,0.0,1,170.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,175.28546932303863
57,112236,83.0,0.0,0.0,0.0,0.0,0.0,1,181.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,15419.116634687563
59,109165,7.0,0.0,0.0,0.0,0.0,0.0,1,91.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,48.24961689307839
62,149955,22.3,0.0,0.0,0.0,0.0,0.0,1,87.6,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,20.440369647123
65,109168,21.0,0.0,0.0,0.0,0.0,0.0,1,50.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,88.13160757067381
67,111678,70.0,0.0,0.0,0.0,0.0,0.0,1,1060.8,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,9349.342349695557
70,111678,700.0,0.0,0.0,0.0,0.0,0.0,1,1400.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Eastern,0.0,0.0,0.0,0.0,9349.342349695557
71,111678,16.0,0.0,0.0,0.0,0.0,0.0,1,32.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,9349.342349695557
73,130035,0.7,0.0,0.0,0.0,0.0,0.0,1,11.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,21.45639869213528
78,309468,0.5,0.0,0.0,0.0,0.0,0.0,1,12.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Western,0.0,0.0,0.0,0.0,12.943508686519111
79,133844,24.0,0.0,0.0,0.0,0.0,0.0,1,101.1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,103.98788372342226
