plant_id,type,n,c2,c1,c0
BANKHEAD DAM-WAT-HY,hydro,1,,1125.0,
BARRY-NG-ST,ng,1,2.4691906740204743e-22,10.986394397351058,179.82398694636348
BARRY-BIT-ST,coal,1,1.4963848774689816e-18,9.731777657226363,195.12116644508754
BARRY-NG-CT,ng,1,0.0032554633702336568,4.727900423940016,375.2646293626348
BARRY-NG-CA,ng,1,0.0032554633702336568,4.727900423940016,375.2646293626348
WALTER BOULDIN DAM-WAT-HY,hydro,1,,1051.0,
GADSDEN-NG-ST,ng,1,,1055.0,
GORGAS-BIT-ST,coal,1,4.967997645144613e-20,9.955930952261818,217.64469058291644
COPPER-NG-GT,ng,1,0.00903868258659373,10.088314525751356,240.6574298580381
GREENE COUNTY-NG-ST,ng,1,9.644817174580099e-18,9.409171005435134,71.39527351350505
GREENE COUNTY-NG-GT,ng,1,4.183158986431498e-24,10.804428745149076,162.0725684586929
H NEELY HENRY DAM-WAT-HY,hydro,1,,1015.0,
HOLT DAM-WAT-HY,hydro,1,,1125.0,
JORDAN DAM-WAT-HY,hydro,1,,1051.0,
LOGAN MARTIN DAM-WAT-HY,hydro,1,,1121.0,
LAY DAM-WAT-HY,hydro,1,,1021.0,
MARTIN DAM-WAT-HY,hydro,1,,1051.0,
MITCHELL DAM-WAT-HY,hydro,1,,1037.0,
LEWIS SMITH DAM-WAT-HY,hydro,1,,1127.0,
THURLOW DAM-WAT-HY,hydro,1,,1051.0,
WEISS DAM-WAT-HY,hydro,1,,1019.0,
YATES DAM-WAT-HY,hydro,1,,1051.0,
E C GASTON-NG-ST,ng,1,0.004438817115461595,7.472710271699258,178.98649208175138
E C GASTON-BIT-ST,coal,1,0.0020470927401419307,7.811855503311431,1171.925135822442
E C GASTON-DFO-GT,dfo,1,0.004438817115461595,7.472710271699258,178.98649208175138
MADELIA-NG-IC,ng,1,,27165.0,
ROLLINS-WAT-HY,hydro,1,,6061.0,
MILLERS FERRY-WAT-HY,hydro,1,,1131.0,
BROWNS FERRY-NUC-ST,nuclear,1,,1083.0,
COLBERT-NG-GT,ng,1,0.0019586670485920465,14.311018807751449,1.6493986386363515
GUNTERSVILLE-WAT-HY,hydro,1,,1095.0,
WHEELER DAM-WAT-HY,hydro,1,,1079.0,
DOLET HILLS-LIG-ST,coal,1,0.001212684850589502,8.201579235111163,221.6994702633152
GANTT-WAT-HY,hydro,1,,1039.0,
J K SMITH-NG-GT,ng,1,,21049.0,
POINT A-WAT-HY,hydro,1,,1039.0,
CHARLES R LOWMAN-BIT-ST,coal,1,0.004016629769924317,7.827087957766877,225.51385431424245
PLATTE-SUB-ST,coal,1,0.008563752636440703,9.845907433469103,43.72401157726128
WHELAN ENERGY CENTER-RC-ST,coal,1,0.0015174051186019096,8.67269274667713,158.8795684592214
WHELAN ENERGY CENTER-SUB-ST,coal,1,0.0015174051186019096,8.67269274667713,158.8795684592214
ANNEX CREEK-WAT-HY,hydro,1,,0.0,
GOLD CREEK-WAT-HY,hydro,1,,0.0,
SALMON CREEK 1-WAT-HY,hydro,1,,0.0,
SKAGWAY-WAT-HY,hydro,1,,0.0,
SKAGWAY-DFO-IC,dfo,1,,0.0,
HAINES-DFO-IC,dfo,1,,0.0,
SWAN LAKE-WAT-HY,hydro,1,,0.0,
TERROR LAKE MICROGRID-WAT-HY,hydro,1,,0.0,
ANCHORAGE 1-NG-GT,ng,1,,0.0,
ANCHORAGE 1-DFO-IC,dfo,1,,0.0,
EKLUTNA HYDRO PROJECT-WAT-HY,hydro,1,,0.0,
SNETTISHAM-WAT-HY,hydro,1,,0.0,
AURORA ENERGY LLC CHENA-SUB-ST,coal,1,,0.0,
