plant_id,bus_id,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,mu_Pmax,mu_Pmin,mu_Qmax,mu_Qmin,type,interconnect,GenFuelCost,GenIOB,GenIOC,GenIOD,distance,lat,lon,zip,state
1,153567,52.0,0.0,0.0,0.0,0.0,0.0,1,104.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,31170.32320857693,33.4591459,-87.358550308,35476,AL
2,109058,131.0,0.0,0.0,0.0,0.0,0.0,1,306.2,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,116.13695696355204,31.006476269,-88.011174661,36512,AL
4,109058,465.0,0.0,0.0,0.0,0.0,0.0,1,1192.5,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Eastern,0.0,0.0,0.0,0.0,116.13695696355204,31.006476269,-88.011174661,36512,AL
6,109058,131.0,0.0,0.0,0.0,0.0,0.0,1,680.4,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,116.13695696355204,31.006476269,-88.011174661,36512,AL
8,109058,131.0,0.0,0.0,0.0,0.0,0.0,1,390.4,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,116.13695696355204,31.006476269,-88.011174661,36512,AL
12,110902,74.0,0.0,0.0,0.0,0.0,0.0,1,225.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,71.07929767826542,32.58389,-86.28306,36092,AL
15,110143,28.0,0.0,0.0,0.0,0.0,0.0,1,138.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,244.99683071934444,34.012962538,-85.970568262,35903,AL
17,112080,0.0,0.0,0.0,0.0,0.0,0.0,1,1166.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coal,Eastern,0.0,0.0,0.0,0.0,1911.7084732195567,33.644755519,-87.199098535,35580,AL
20,302880,3.0,0.0,0.0,0.0,0.0,0.0,1,86.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,62.543717566532194,31.757609079,-106.374538385,79915,TX
32,110192,22.4,0.0,0.0,0.0,0.0,0.0,1,72.9,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,98.8928899979366,33.784183929,-86.052596086,36271,AL
35,153567,45.0,0.0,0.0,0.0,0.0,0.0,1,90.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,10630.282085813384,33.255225466,-87.449755506,35476,AL
36,155346,25.0,0.0,0.0,0.0,0.0,0.0,1,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,596.8242767803827,32.618804909,-86.255507097,36092,AL
40,109875,41.8,0.0,0.0,0.0,0.0,0.0,1,128.10000000000002,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,17.042556248296936,33.425848261,-86.337958809,35178,AL
43,111337,29.0,0.0,0.0,0.0,0.0,0.0,1,177.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,15394.681447668008,32.96334786,-86.519127824,35045,AL
49,109169,40.0,0.0,0.0,0.0,0.0,0.0,1,210.6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,195.379449724886,32.679973886,-85.911459015,36078,AL
53,155347,46.0,0.0,0.0,0.0,0.0,0.0,1,170.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,175.28546932303863,32.804925242,-86.446116427,36091,AL
57,112236,83.0,0.0,0.0,0.0,0.0,0.0,1,181.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,15419.116634687563,33.940635493,-87.107970955,35501,AL
