Storage_name,Type,SOC_max,SOC_min,Pchr_max,Pdis_max,Charge Efficiency,Discharge Efficiency,Loss Factor,Terminal Max,Terminal Min,SOC_intial
EL CENTRO-BESS,BATTERIES,1,0,28.0,28.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
PALAAU POWER-BAT1,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
HARDING STREET-BAT1,BATTERIES,1,0,20.0,20.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
WILLIAM F WYMAN-BESS,BATTERIES,1,0,16.2,16.2,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
WALTER C BECKJORD-BECK1,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
WALTER C BECKJORD-BECK2,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
KOTZEBUE-ES1,BATTERIES,1,0,1.2,1.2,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
OCRACOKE-BAT,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
PEBBLY BEACH-NASB1,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MCINTOSH (AL)-1,NATURAL GAS WITH COMPRESSED AIR STORAGE,1,0,110.0,110.0,0.7071067811865476,0.7071067811865476,0.99,0.8,0.2,0.5
ALTAGAS POMONA ENERGY INC.-BESS1,BATTERIES,1,0,20.0,20.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
BIOLA UNIVERSITY-BATT,BATTERIES,1,0,0.3,0.3,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
"GREEN MOUNTAIN STORAGE, LLC-BGM",BATTERIES,1,0,10.4,10.4,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
GRAPELAND PEAKER-BA1,BATTERIES,1,0,10.0,10.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
CENTER PEAKER-BA1,BATTERIES,1,0,10.0,10.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
NOTREES WINDPOWER-BATT,BATTERIES,1,0,36.0,36.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
PYRON WIND FARM LLC-PYRBT,BATTERIES,1,0,9.9,9.9,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
INADALE WIND FARM LLC-INABT,BATTERIES,1,0,9.9,9.9,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
ROLLING THUNDER WIND FARM-2,BATTERIES,1,0,0.8,0.8,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
KAHEAWA WIND POWER II LLC-2,BATTERIES,1,0,10.0,10.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
FPL ENERGY ILLINOIS WIND LLC-BFT,BATTERIES,1,0,20.0,20.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
LAUREL MOUNTAIN-2,BATTERIES,1,0,16.0,16.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
BATTERY ENERGY STORAGE SYSTEM-BESS,BATTERIES,1,0,40.0,40.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
UNIVERSITY OF CALIFORNIA SAN DIEGO-BS1,BATTERIES,1,0,2.5,2.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
STEPHENTOWN SPINDLE-SRS1,FLYWHEELS,1,0,20.0,20.0,0.9486832980505138,0.9486832980505138,0.99,0.8,0.2,0.5
HAZLE SPINDLE-HRS1,FLYWHEELS,1,0,20.0,20.0,0.9486832980505138,0.9486832980505138,0.99,0.8,0.2,0.5
AUWAHI WIND ENERGY-AWEB,BATTERIES,1,0,11.0,11.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
LOS ALAMOS PV SITE-2,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
LOS ALAMOS PV SITE-3,BATTERIES,1,0,0.8,0.8,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
ESS BATTERY MICROGRID-1,BATTERIES,1,0,3.0,3.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
BATTERY UTILITY OF OHIO-BOU,BATTERIES,1,0,4.0,4.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
OCI ALAMO SOLAR I-ASTRO,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
LAVERNE BATTERY-1,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
SIERRA NEVADA BREWING CO-BESS,BATTERIES,1,0,0.5,0.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
KRS I ANAHOLA SOLAR-B5B6,BATTERIES,1,0,6.0,6.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
PROSPERITY ENERGY STORAGE FACILITY-GEN-2,BATTERIES,1,0,0.8,0.8,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
VACA DIXON BATTERY STORAGE SYSTEM-BAT1,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
YERBA BUENA-YB1,BATTERIES,1,0,4.0,4.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
TEHACHAPI ENERGY STORAGE PROJECT-TSP1,BATTERIES,1,0,8.0,8.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
AES WARRIOR RUN ENERGY STORAGE PROJECT-BESS1,BATTERIES,1,0,5.0,5.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
GRAND RIDGE BATTERY PROJECTS-GIVB,BATTERIES,1,0,1.5,1.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
GRAND RIDGE BATTERY PROJECTS-GRES,BATTERIES,1,0,31.5,31.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
ELWOOD ENERGY STORAGE CENTER-WCBS,BATTERIES,1,0,19.8,19.8,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
JAKE ENERGY STORAGE CENTER-JBS,BATTERIES,1,0,19.8,19.8,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
BABCOCK SOLAR ENERGY CENTER-BA,BATTERIES,1,0,10.0,10.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
AEP MILTON NAS-1,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MESA 1-A,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MESA 1-B,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
CITRUS SOLAR ENERGY CENTER-BA,BATTERIES,1,0,4.0,4.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
NA 1(HAGERSTOWN)-MPSHG,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
GENENTECH-OCEANSIDE-BA1,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
CLINTON BATTERY-1,BATTERIES,1,0,10.0,10.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
HMV MINSTER ENERGY STORAGE SYSTEM-MIN02,BATTERIES,1,0,7.0,7.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
BEECH RIDGE ENERGY STORAGE-BRES,BATTERIES,1,0,31.5,31.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
GLACIER BATTERY STORAGE-GLA,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
ETT PRESIDIO NAS BATTERY-BOB,BATTERIES,1,0,4.0,4.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
STAFFORD HILL SOLAR-BA1,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
KIUC KAPAIA PV AND BA STORAGE PROJECT-BA1,BATTERIES,1,0,11.0,11.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
CEDARTOWN BATTERY ENERGY STORAGE PROJECT-1,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
GMP SOLAR - PANTON-GMPBP,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
FLYWHEEL ENERGY STORAGE SYSTEM MICROGRID-FESS,FLYWHEELS,1,0,2.0,2.0,0.9486832980505138,0.9486832980505138,0.99,0.8,0.2,0.5
BORREGO SPRINGS ENERGY STORAGE-SES1,BATTERIES,1,0,0.5,0.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
BORREGO SPRINGS ENERGY STORAGE-SES2,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
PALA ENERGY STORAGE YARD-SES1,BATTERIES,1,0,0.5,0.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
PALA ENERGY STORAGE YARD-SES2,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
ORTEGA HIGHWAY ENERGY STORAGE-SES1,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
ORTEGA HIGHWAY ENERGY STORAGE-SES2,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
CANYON CREST ACADEMY-SES,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
EL CAJON ENERGY STORAGE-SES,BATTERIES,1,0,7.5,7.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
ESCONDIDO ENERGY STORAGE-SES,BATTERIES,1,0,30.0,30.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
CMEEC - POLARIS PARK SOLAR-BA1,BATTERIES,1,0,0.8,0.8,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
CMEEC - NORWICH STOTT ST SOLAR-BA1,BATTERIES,1,0,0.8,0.8,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
AEP CHURUBUSCO NAS-1,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
AEP BLUFFTON NAS-1,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MCHENRY BATTERY STORAGE-MCH1,BATTERIES,1,0,19.8,19.8,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
WILLEY BATTERY UTILITY-WBU,BATTERIES,1,0,6.0,6.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MIRA LOMA ENERGY STORAGE FACILITY-013A,BATTERIES,1,0,10.0,10.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MIRA LOMA ENERGY STORAGE FACILITY-013B,BATTERIES,1,0,10.0,10.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
"BLUE SUMMIT STORAGE, LLC-WBSS",BATTERIES,1,0,30.0,30.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
