branchid,trans_viol,branch_rating,percentage
212236.0,2.036076199006605e-17,1793.0,1.1355695476891272e-20
212237.0,0.0,86.0,0.0
212238.0,2.060549122587798e-17,700.0,2.943641603696854e-20
212239.0,2.0610267381456857e-17,700.0,2.944323911636694e-20
201384.0,2.058501560102946e-17,797.0,2.582812496992404e-20
201385.0,2.058501556231545e-17,797.0,2.5828124921349375e-20
201386.0,2.1761848805237872e-17,700.0,3.10883554360541e-20
201387.0,0.0,700.0,0.0
201388.0,2.0585408660072575e-17,797.0,2.5828618143127447e-20
201389.0,0.0,797.0,0.0
201392.0,2.0702422762280327e-17,700.0,2.957488966040047e-20
201393.0,2.0696949354077523e-17,700.0,2.956707050582503e-20
201394.0,2.0595352725615075e-17,797.0,2.584109501331879e-20
201395.0,1.938117770864323e-17,1969.730492288728,9.83950737652605e-21
202241.0,0.0,700.0,0.0
202242.0,0.0,700.0,0.0
202266.0,2.0682485977134532e-17,700.0,2.954640853876362e-20
202267.0,2.038730780896238e-17,1899.8555597972747,1.0730977786089074e-20
202268.0,2.0701635651451955e-17,700.0,2.9573765216359935e-20
202269.0,2.1586029457335844e-17,700.0,3.0837184939051203e-20
202270.0,2.1109928427532545e-17,797.0,2.6486735793641837e-20
202271.0,2.0848088107897827e-17,700.0,2.978298301128261e-20
202272.0,2.0703956195342304e-17,700.0,2.9577080279060436e-20
202273.0,2.068212062151528e-17,797.0,2.594996313866409e-20
202274.0,2.0879581382208695e-17,700.0,2.9827973403155276e-20
202275.0,2.0750376075752892e-17,797.0,2.6035603608221948e-20
202276.0,2.0702173768756292e-17,700.0,2.957453395536613e-20
202277.0,2.2106714143910424e-17,239.0,9.249671189920679e-20
202278.0,2.070337319693056e-17,700.0,2.9576247424186517e-20
202279.0,2.150956730000668e-17,700.0,3.072795328572383e-20
202282.0,2.1760104676010276e-17,700.0,3.108586382287182e-20
202290.0,2.068421443456228e-17,700.0,2.95488777636604e-20
202291.0,2.1517128602106818e-17,700.0,3.073875514586688e-20
202292.0,2.1514820408446907e-17,700.0,3.0735457726352725e-20
202294.0,2.0701219394273907e-17,700.0,2.957317056324844e-20
202295.0,2.1837547021624272e-17,382.0,5.71663534597494e-20
202761.0,2.2416286116944608e-17,86.0,2.6065448973191404e-19
202762.0,2.068736815690914e-17,700.0,2.955338308129877e-20
202769.0,0.0,700.0,0.0
202770.0,0.0,86.0,0.0
202826.0,2.0681275123690755e-17,700.0,2.954467874812965e-20
202827.0,0.0,700.0,0.0
202828.0,2.0681095760455683e-17,700.0,2.954442251493669e-20
202898.0,2.21001526044771e-17,86.0,2.5697851865671045e-19
202899.0,2.210090344495065e-17,86.0,2.569872493598913e-19
202900.0,2.0354783169695936e-17,1793.0,1.1352360942384795e-20
202901.0,2.0681104979762854e-17,700.0,2.9544435685375507e-20
202902.0,2.210263299547353e-17,86.0,2.570073604124829e-19
202903.0,2.2102807589459416e-17,86.0,2.570093905751095e-19
202904.0,2.2102778721760958e-17,86.0,2.5700905490419717e-19
202905.0,2.2102772685136134e-17,86.0,2.570089847108853e-19
202906.0,2.0681084752452597e-17,700.0,2.9544406789217994e-20
202965.0,0.0,700.0,0.0
202966.0,0.0,700.0,0.0
202975.0,0.0,700.0,0.0
202980.0,2.2102241402908997e-17,86.0,2.570028070105697e-19
202981.0,2.210224140829469e-17,86.0,2.5700280707319403e-19
202982.0,0.0,86.0,0.0
202983.0,2.0681167443920165e-17,700.0,2.954452491988595e-20
202280.0,2.0684034450893015e-17,700.0,2.954862064413288e-20
202281.0,2.2043301381675196e-17,239.0,9.223138653420584e-20
202763.0,2.067588856060415e-17,700.0,2.953698365800593e-20
202764.0,2.211508505002479e-17,239.0,9.253173661098239e-20
202765.0,2.067545230985161e-17,700.0,2.953636044264516e-20
202766.0,2.069039850579929e-17,700.0,2.9557712151141844e-20
202767.0,2.1042632800510503e-17,700.0,3.006090400072929e-20
202768.0,2.067559801042103e-17,700.0,2.953656858631576e-20
202867.0,0.0,86.0,0.0
202868.0,2.0506842577055444e-17,86.0,2.384516578727377e-19
202869.0,0.0,700.0,0.0
202870.0,2.0168812030039426e-17,700.0,2.8812588614342037e-20
202871.0,0.0,700.0,0.0
202872.0,0.0,700.0,0.0
202873.0,0.0,700.0,0.0
202874.0,0.0,700.0,0.0
202875.0,0.0,700.0,0.0
202876.0,0.0,700.0,0.0
202897.0,2.0681313479829686e-17,700.0,2.954473354261384e-20
202923.0,0.0,700.0,0.0
202924.0,0.0,86.0,0.0
202925.0,0.0,86.0,0.0
202963.0,2.0681906411420662e-17,700.0,2.9545580587743806e-20
202964.0,0.0,1793.0,0.0
202984.0,2.068123024741289e-17,700.0,2.954461463916127e-20
204442.0,2.0681673505854673e-17,700.0,2.9545247865506674e-20
204443.0,0.0,239.0,0.0
204444.0,2.2113375640915083e-17,239.0,9.252458427161122e-20
204445.0,0.0,239.0,0.0
204446.0,2.0681309735996656e-17,700.0,2.9544728194280935e-20
204447.0,0.0,700.0,0.0
204450.0,0.0,1793.0,0.0
204453.0,2.0690782989119314e-17,700.0,2.955826141302759e-20
204454.0,0.0,700.0,0.0
204455.0,0.0,700.0,0.0
204456.0,0.0,700.0,0.0
204457.0,0.0,1793.0,0.0
204458.0,2.1340986565388303e-17,86.0,2.481510065742826e-19
204459.0,2.177175223689851e-17,86.0,2.53159909731378e-19
204460.0,2.1777129079023418e-17,86.0,2.5322243115143507e-19
204461.0,0.0,700.0,0.0
204462.0,2.1635885141800977e-17,239.0,9.052671607448108e-20
204463.0,0.0,700.0,0.0
204464.0,0.0,700.0,0.0
204465.0,2.1761713327035232e-17,700.0,3.1088161895764617e-20
204466.0,0.0,239.0,0.0
204467.0,0.0,1793.0,0.0
204468.0,2.148294851497601e-17,239.0,8.98868138701925e-20
204469.0,2.1483379682792437e-17,239.0,8.988861791963363e-20
204470.0,0.0,1793.0,0.0
204471.0,0.0,239.0,0.0
204472.0,2.148238218829127e-17,239.0,8.988444430247393e-20
204473.0,2.148234076012e-17,239.0,8.988427096284519e-20
204474.0,0.0,239.0,0.0
204475.0,2.148216187529551e-17,239.0,8.988352249077619e-20
204476.0,2.1761894387810213e-17,700.0,3.108842055401459e-20
204477.0,2.148198503801958e-17,239.0,8.988278258585598e-20
204478.0,2.148216187529551e-17,239.0,8.988352249077619e-20
204479.0,0.0,1793.0,0.0
204480.0,2.128615300669812e-17,239.0,8.906340170166578e-20
204481.0,0.0,1793.0,0.0
204482.0,2.058645857609182e-17,700.0,2.940922653727403e-20
204483.0,0.0,239.0,0.0
204484.0,0.0,239.0,0.0
204485.0,0.0,239.0,0.0
204486.0,0.0,239.0,0.0
204489.0,0.0,239.0,0.0
204490.0,0.0,239.0,0.0
204492.0,0.0,239.0,0.0
204493.0,0.0,700.0,0.0
204494.0,0.0,700.0,0.0
204495.0,0.0,700.0,0.0
204496.0,0.0,239.0,0.0
204429.0,0.0,700.0,0.0
204430.0,2.0681087802451443e-17,700.0,2.9544411146359206e-20
204431.0,2.068109084635305e-17,700.0,2.954441549479007e-20
204432.0,2.0681088964043416e-17,700.0,2.954441280577631e-20
204433.0,2.0681088933254597e-17,700.0,2.9544412761792283e-20
204434.0,2.0681097632558264e-17,700.0,2.954442518936895e-20
204435.0,0.0,239.0,0.0
204436.0,2.211367538661754e-17,239.0,9.25258384377303e-20
204437.0,2.068110695385008e-17,700.0,2.954443850550011e-20
204438.0,0.0,700.0,0.0
204439.0,2.0681116175893032e-17,700.0,2.954445167984719e-20
204440.0,2.2113671448396603e-17,239.0,9.252582195981842e-20
204441.0,0.0,239.0,0.0
204448.0,2.0681274881166945e-17,700.0,2.954467840166706e-20
204449.0,0.0,700.0,0.0
204451.0,0.0,239.0,0.0
204487.0,0.0,700.0,0.0
204488.0,0.0,700.0,0.0
204491.0,0.0,700.0,0.0
205153.0,0.0,700.0,0.0
205154.0,0.0,239.0,0.0
205155.0,2.0681347866365902e-17,700.0,2.9544782666237004e-20
205162.0,0.0,700.0,0.0
205163.0,0.0,700.0,0.0
206289.0,0.0,700.0,0.0
206290.0,0.0,700.0,0.0
206291.0,0.0,86.0,0.0
206292.0,0.0,700.0,0.0
207701.0,2.211334520023056e-17,239.0,9.252445690473037e-20
207702.0,2.200392911875792e-17,86.0,2.5585964091578977e-19
207703.0,2.068670717544564e-17,700.0,2.95524388220652e-20
207704.0,0.0,86.0,0.0
207705.0,2.2021841258724502e-17,86.0,2.560679216130756e-19
207706.0,2.0684096198540625e-17,700.0,2.954870885505804e-20
207719.0,0.0,239.0,0.0
207720.0,0.0,239.0,0.0
207721.0,0.0,239.0,0.0
207722.0,0.0,239.0,0.0
207723.0,0.0,700.0,0.0
207724.0,0.0,700.0,0.0
207725.0,0.0,700.0,0.0
209654.0,2.0681088963867574e-17,700.0,2.95444128055251e-20
209655.0,2.0681115538651557e-17,700.0,2.9544450769502226e-20
209656.0,2.0354783159427544e-17,1793.0,1.135236093665786e-20
209657.0,2.0681670041341552e-17,700.0,2.954524291620222e-20
209658.0,0.0,1793.0,0.0
209659.0,0.0,1793.0,0.0
209661.0,0.0,1793.0,0.0
209666.0,2.0703373171188018e-17,700.0,2.9576247387411456e-20
210009.0,0.0,86.0,0.0
210010.0,0.0,1793.0,0.0
210011.0,0.0,1793.0,0.0
210012.0,0.0,86.0,0.0
210013.0,0.0,700.0,0.0
210014.0,0.0,700.0,0.0
210015.0,0.0,1793.0,0.0
210016.0,0.0,86.0,0.0
210017.0,0.0,1793.0,0.0
210018.0,0.0,86.0,0.0
210019.0,0.0,86.0,0.0
210020.0,0.0,86.0,0.0
210021.0,0.0,86.0,0.0
210022.0,0.0,86.0,0.0
210023.0,2.0681083864537208e-17,700.0,2.954440552076744e-20
210024.0,0.0,86.0,0.0
210025.0,2.068112877914059e-17,700.0,2.954446968448656e-20
210026.0,0.0,1793.0,0.0
210027.0,2.2102142087600874e-17,86.0,2.570016521814055e-19
210028.0,0.0,86.0,0.0
210029.0,2.2102142087600874e-17,86.0,2.570016521814055e-19
210030.0,0.0,86.0,0.0
210031.0,2.068112877914059e-17,700.0,2.954446968448656e-20
210032.0,0.0,86.0,0.0
210033.0,0.0,700.0,0.0
210034.0,0.0,86.0,0.0
210035.0,0.0,86.0,0.0
210036.0,2.2113504365533365e-17,239.0,9.252512286834044e-20
210037.0,0.0,86.0,0.0
210038.0,0.0,86.0,0.0
210039.0,0.0,86.0,0.0
210041.0,0.0,86.0,0.0
210042.0,2.2101568094111405e-17,86.0,2.5699497783850473e-19
210043.0,2.2101568095604022e-17,86.0,2.5699497785586073e-19
210044.0,0.0,1793.0,0.0
210045.0,2.210156809560811e-17,86.0,2.5699497785590825e-19
210046.0,0.0,86.0,0.0
210047.0,2.210156809560811e-17,86.0,2.5699497785590825e-19
210048.0,0.0,1793.0,0.0
210049.0,2.2101568044462438e-17,86.0,2.5699497726119115e-19
210050.0,0.0,1793.0,0.0
210051.0,2.210156809560811e-17,86.0,2.5699497785590825e-19
210052.0,2.210156809560811e-17,86.0,2.5699497785590825e-19
210053.0,0.0,86.0,0.0
210054.0,0.0,1793.0,0.0
210055.0,2.210156809560811e-17,86.0,2.5699497785590825e-19
210056.0,0.0,86.0,0.0
210057.0,0.0,86.0,0.0
210058.0,2.0681072815959453e-17,700.0,2.954438973708493e-20
210059.0,2.175866295882805e-17,700.0,3.1083804226897214e-20
210060.0,2.211301533304296e-17,239.0,9.252307670729272e-20
210061.0,2.1758662573442314e-17,700.0,3.108380367634616e-20
210062.0,2.2098684713620233e-17,86.0,2.569614501583748e-19
210063.0,0.0,86.0,0.0
210064.0,2.2098684710512315e-17,86.0,2.5696145012223623e-19
210065.0,0.0,86.0,0.0
210066.0,2.06809818861822e-17,700.0,2.954425983740314e-20
210067.0,2.2083228921014636e-17,86.0,2.5678173163970506e-19
210068.0,2.2083228814654375e-17,86.0,2.5678173040295783e-19
210069.0,0.0,1793.0,0.0
210070.0,0.0,86.0,0.0
210071.0,2.2083228807776062e-17,86.0,2.567817303229775e-19
210072.0,2.2083228862119618e-17,86.0,2.567817309548793e-19
210073.0,0.0,86.0,0.0
210074.0,0.0,86.0,0.0
210075.0,2.208322886448327e-17,86.0,2.567817309823636e-19
210076.0,2.2083228909977445e-17,86.0,2.5678173151136567e-19
210077.0,0.0,86.0,0.0
210078.0,2.0682078020322262e-17,700.0,2.9545825743317514e-20
210079.0,2.068052976831362e-17,700.0,2.9543613954733745e-20
210080.0,2.2101141383353952e-17,86.0,2.569900160855111e-19
210081.0,0.0,86.0,0.0
210082.0,2.0680529837583352e-17,700.0,2.9543614053690505e-20
210083.0,2.066689693739323e-17,700.0,2.952413848199033e-20
210084.0,2.0450489266274053e-17,1793.0,1.1405738575724513e-20
210085.0,2.1243996952425683e-17,239.0,8.888701653734596e-20
210086.0,2.1757744458653782e-17,700.0,3.1082492083791114e-20
210087.0,2.0672250685171262e-17,700.0,2.9531786693101804e-20
210088.0,0.0,1793.0,0.0
210089.0,0.0,86.0,0.0
210090.0,2.2106456410054134e-17,86.0,2.570518187215597e-19
210091.0,0.0,1793.0,0.0
210092.0,2.2106456410054134e-17,86.0,2.570518187215597e-19
210093.0,0.0,86.0,0.0
210094.0,2.2105608700501276e-17,86.0,2.570419616337358e-19
210095.0,0.0,1793.0,0.0
210096.0,2.2105608700505365e-17,86.0,2.570419616337833e-19
210097.0,0.0,1793.0,0.0
210098.0,2.210560870052581e-17,86.0,2.5704196163402106e-19
210099.0,0.0,239.0,0.0
210100.0,0.0,239.0,0.0
210101.0,0.0,239.0,0.0
210102.0,0.0,86.0,0.0
210103.0,0.0,1793.0,0.0
210104.0,0.0,700.0,0.0
210105.0,0.0,86.0,0.0
210106.0,0.0,700.0,0.0
210107.0,0.0,1793.0,0.0
210108.0,0.0,700.0,0.0
210109.0,0.0,86.0,0.0
210110.0,0.0,700.0,0.0
210112.0,2.2093820493182432e-17,86.0,2.5690488945560967e-19
210113.0,0.0,86.0,0.0
210114.0,2.209382049319879e-17,86.0,2.569048894557999e-19
210115.0,0.0,86.0,0.0
210116.0,2.210560870052581e-17,86.0,2.5704196163402106e-19
210117.0,0.0,1793.0,0.0
210118.0,2.0428913178211317e-17,1793.0,1.1393705063140723e-20
210119.0,2.210560870054626e-17,86.0,2.570419616342588e-19
210120.0,0.0,86.0,0.0
210121.0,2.067239780859393e-17,700.0,2.95319968694199e-20
210122.0,2.068172748270503e-17,700.0,2.95453249752929e-20
210123.0,2.2093820493194702e-17,86.0,2.5690488945575233e-19
210124.0,0.0,1793.0,0.0
210125.0,2.209382049318652e-17,86.0,2.5690488945565724e-19
210126.0,0.0,86.0,0.0
210127.0,2.2093820493194702e-17,86.0,2.5690488945575233e-19
210128.0,2.2093820493194702e-17,86.0,2.5690488945575233e-19
210129.0,2.1806659412275494e-17,700.0,3.115237058896499e-20
210130.0,0.0,1793.0,0.0
210131.0,2.1806659412443157e-17,700.0,3.115237058920451e-20
210132.0,2.068244562847761e-17,700.0,2.954635089782516e-20
210133.0,2.209518311222926e-17,86.0,2.5692073386313093e-19
210134.0,2.2095183112208814e-17,86.0,2.569207338628932e-19
210135.0,2.0355601762156393e-17,1793.0,1.1352817491442495e-20
210136.0,2.2102237315569407e-17,86.0,2.570027594833652e-19
210137.0,2.2102248189228713e-17,86.0,2.570028859212641e-19
210138.0,2.209946700613523e-17,86.0,2.569705465829678e-19
210139.0,0.0,86.0,0.0
210140.0,2.209946700613932e-17,86.0,2.5697054658301536e-19
210141.0,2.2099467006155677e-17,86.0,2.5697054658320555e-19
210142.0,2.209946700613523e-17,86.0,2.569705465829678e-19
210143.0,2.2098523696583965e-17,86.0,2.569595778672554e-19
210144.0,0.0,1793.0,0.0
210145.0,2.209852369655943e-17,86.0,2.569595778669701e-19
210146.0,0.0,1793.0,0.0
210147.0,2.068173691935371e-17,700.0,2.9545338456219585e-20
210148.0,0.0,700.0,0.0
210149.0,0.0,1793.0,0.0
210150.0,0.0,86.0,0.0
210151.0,0.0,86.0,0.0
210152.0,0.0,1793.0,0.0
210153.0,0.0,86.0,0.0
210154.0,0.0,86.0,0.0
210155.0,0.0,86.0,0.0
210156.0,0.0,86.0,0.0
210157.0,2.0681361736551533e-17,700.0,2.9544802480787907e-20
210158.0,2.2101146523667922e-17,86.0,2.5699007585660376e-19
210159.0,2.0354675398025073e-17,1793.0,1.1352300835485261e-20
210160.0,0.0,86.0,0.0
210161.0,2.0354675409904674e-17,1793.0,1.1352300842110805e-20
210162.0,2.2101146431125617e-17,86.0,2.569900747805304e-19
210163.0,2.0354675407005317e-17,1793.0,1.1352300840493763e-20
210164.0,0.0,1793.0,0.0
210165.0,0.0,1793.0,0.0
210166.0,0.0,1793.0,0.0
210167.0,0.0,86.0,0.0
210168.0,0.0,1793.0,0.0
210169.0,0.0,86.0,0.0
210170.0,2.2101146388902937e-17,86.0,2.5699007428956903e-19
210171.0,0.0,86.0,0.0
210172.0,0.0,86.0,0.0
210173.0,0.0,86.0,0.0
210174.0,0.0,700.0,0.0
210175.0,0.0,86.0,0.0
210176.0,0.0,1793.0,0.0
210177.0,0.0,700.0,0.0
210178.0,0.0,700.0,0.0
210179.0,0.0,1793.0,0.0
210180.0,0.0,1793.0,0.0
210181.0,0.0,1793.0,0.0
210182.0,0.0,86.0,0.0
210183.0,0.0,86.0,0.0
210184.0,0.0,86.0,0.0
210185.0,0.0,86.0,0.0
210186.0,0.0,1793.0,0.0
210187.0,0.0,86.0,0.0
210193.0,0.0,86.0,0.0
210194.0,0.0,86.0,0.0
210195.0,0.0,86.0,0.0
210196.0,0.0,86.0,0.0
210197.0,0.0,86.0,0.0
210198.0,0.0,700.0,0.0
210199.0,0.0,700.0,0.0
210200.0,0.0,86.0,0.0
210201.0,0.0,700.0,0.0
210202.0,0.0,86.0,0.0
210203.0,0.0,239.0,0.0
210204.0,0.0,239.0,0.0
210205.0,0.0,700.0,0.0
210215.0,0.0,1793.0,0.0
210216.0,0.0,1793.0,0.0
210217.0,0.0,1793.0,0.0
