branchid,trans_viol,branch_rating,percentage
212144.0,0.0,700.0,0.0
212145.0,0.0,700.0,0.0
212146.0,0.0,239.0,0.0
212147.0,0.0,1793.0,0.0
212148.0,0.0,239.0,0.0
212149.0,0.0,239.0,0.0
212150.0,0.0,239.0,0.0
212152.0,3.396123724919615e-15,1793.0,1.8941013524370413e-18
212153.0,3.3962865334184953e-15,239.0,1.4210403905516716e-17
212154.0,0.0,1793.0,0.0
212155.0,20.851215120888366,86.0,0.2424559897777717
212156.0,20.851215120888366,86.0,0.2424559897777717
212157.0,3.3960220590432347e-15,700.0,4.851460084347478e-18
212159.0,0.0,239.0,0.0
212160.0,3.396293634470017e-15,239.0,1.4210433617029362e-17
212161.0,3.396022075758503e-15,700.0,4.851460108226433e-18
212162.0,0.0,700.0,0.0
212166.0,0.0,1793.0,0.0
212176.0,0.0,239.0,0.0
212177.0,0.0,1793.0,0.0
212178.0,0.0,239.0,0.0
212179.0,0.0,239.0,0.0
212180.0,3.3960168061745225e-15,700.0,4.851452580249318e-18
212183.0,0.0,239.0,0.0
212184.0,3.3962862986635873e-15,700.0,4.8518375695194104e-18
212185.0,0.0,1793.0,0.0
212186.0,0.0,239.0,0.0
212187.0,0.0,239.0,0.0
212198.0,3.396354740683242e-15,86.0,3.949249698468886e-17
212199.0,0.0,700.0,0.0
212205.0,0.0,1793.0,0.0
212212.0,0.0,1793.0,0.0
212213.0,0.0,239.0,0.0
212214.0,0.0,700.0,0.0
212218.0,0.0,239.0,0.0
212219.0,0.0,1793.0,0.0
212220.0,0.0,700.0,0.0
212221.0,0.0,1793.0,0.0
212222.0,0.0,86.0,0.0
212223.0,0.0,239.0,0.0
212224.0,0.0,239.0,0.0
212229.0,0.0,86.0,0.0
212230.0,3.3960909875634313e-15,86.0,3.948943008794687e-17
212231.0,0.0,1793.0,0.0
212232.0,3.3960910799435114e-15,86.0,3.9489431162133855e-17
212233.0,0.0,700.0,0.0
212234.0,0.0,86.0,0.0
212235.0,0.0,86.0,0.0
212240.0,0.0,700.0,0.0
212241.0,0.0,700.0,0.0
212242.0,0.0,86.0,0.0
212243.0,0.0,86.0,0.0
200001.0,3.3960252115121558e-15,700.0,4.851464587874508e-18
200002.0,3.3962462523702073e-15,700.0,4.8517803605288675e-18
200003.0,3.396246252411405e-15,700.0,4.851780360587721e-18
200005.0,3.3961957119623406e-15,7531.325998451467,4.509425979781834e-19
200007.0,3.3960200986195284e-15,2598.0,1.3071670895379247e-18
200008.0,3.3960205487124104e-15,2598.0,1.3071672627838377e-18
200009.0,3.3960205487354325e-15,2598.0,1.3071672627926993e-18
200010.0,3.3962795018364123e-15,2598.0,1.3072669368115521e-18
200011.0,3.396032085750996e-15,4992.108423297461,6.802801136894777e-19
200012.0,3.3960200054369054e-15,2598.0,1.3071670536708643e-18
