"2016 Form EIA-860 Data - Schedule 3, 'Solar Technology Data' (Operable Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
16572,Salt River Project,141,Agua Fria,AZ,Maricopa,PV-3,OP,Solar Photovoltaic,PV,Electric Utility,1,0.2,0.2,0.2,6,2001,,Y,,,,,,,,,33.4,0.2,Y,,,,,,N, ,N, 
7095,City of Geneseo - (IL),944,Geneseo,IL,Henry,12,OP,Solar Photovoltaic,PV,Electric Utility,1,1.2,0.9,0.9,8,2015,,Y,,Y,,,,,,,30.0,1.2,Y,,,,,,N, ,N, 
16179,Rochelle Municipal Utilities,960,North Ninth Street,IL,Ogle,SOL1,OP,Solar Photovoltaic,PV,Electric Utility,1,0.3,0.3,0.3,11,2014,,Y,,Y,,,,,,,25.0,0.3,Y,,,,,,Y,0.3,N, 
14201,City of Osage - (IA),1172,Osage (IA),IA,Mitchell,SO,OP,Solar Photovoltaic,PV,Electric Utility,1,0.8,0.8,0.1,11,2016,,,,Y,,,,,,,35.0,0.3,Y,,,,,,N, ,N, 
10171,Kentucky Utilities Co,1355,E W Brown,KY,Mercer,SOLAR,OP,Solar Photovoltaic,PV,Electric Utility,1,10.0,10.0,10.0,5,2016,,,,Y,,,,,,,16.0,10.0,Y,,,,,,N, ,N, 
4922,Dayton Power & Light Co,2854,Yankee Street,OH,Montgomery,YS1,OP,Solar Photovoltaic,PV,Electric Utility,1,1.1,1.1,1.1,3,2010,,,,Y,,,,,,,25.0,1.1,Y,,Y,,,,N, ,N, 
14063,Oklahoma Gas & Electric Co,2953,Mustang,OK,Canadian,SLR1,OP,Solar Photovoltaic,PV,Electric Utility,1,2.5,2.5,2.5,8,2015,,Y,,Y,,,,,,,25.0,3.0,Y,,,,,,N, ,N, 
56211,KCP&L Greater Missouri Operations Co,6074,Greenwood (MO),MO,Jackson,5,OP,Solar Photovoltaic,PV,Electric Utility,1,3.0,3.0,3.0,6,2016,,,,Y,,,,,,,15.0,3.6,Y,,,,,,N, ,N, 
24211,Tucson Electric Power Co,8223,Springerville,AZ,Apache,SGSS,OP,Solar Photovoltaic,PV,Electric Utility,1,3.7,3.7,3.7,5,2001,,,,Y,,,,,,,25.0,4.6,Y,Y,,,,,N, ,N, 
24211,Tucson Electric Power Co,8223,Springerville,AZ,Apache,SGSS1,OP,Solar Photovoltaic,PV,Electric Utility,1,1.4,1.4,1.4,12,2010,,,,Y,,,,,,,25.0,1.8,Y,,,,,,N, ,N, 
24211,Tucson Electric Power Co,8223,Springerville,AZ,Apache,WMS,OP,Solar Photovoltaic,PV,Electric Utility,1,8.3,8.3,8.3,12,2014,N,Y,,N,,,,,,,25.0,10.0,Y,,,,,,N, ,N, 
12311,Merck & Co Inc,10224,Merck Rahway Power Plant,NJ,Union,SOLAR,OP,Solar Photovoltaic,PV,Industrial CHP,7,0.5,0.5,0.5,12,2005,,,,Y,,,,,,,5.0,0.5,Y,,,,,,N, ,N, 
55711,FPL Energy Operating Services Inc - SEGS,10439,SEGS III,CA,San Bernardino,GEN1,OP,Solar Thermal without Energy Storage,ST,IPP Non-CHP,2,34.2,36.0,34.0,12,1986,Y,Y,,,,Y,,,,, , ,,,,,,,, ,, 
55711,FPL Energy Operating Services Inc - SEGS,10440,SEGS IV,CA,San Bernardino,GEN1,OP,Solar Thermal without Energy Storage,ST,IPP Non-CHP,2,34.2,36.0,34.0,12,1986,Y,Y,,,,Y,,,,, , ,,,,,,,, ,, 
