Speed bin (m/s),IEC class 1,IEC class 2,IEC class 3,Offshore
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0.0043,0.0052,0.0054,0
4,0.0323,0.0423,0.0530,0.0281
5,0.0771,0.1031,0.1351,0.0740
6,0.1426,0.1909,0.2508,0.1373
7,0.2329,0.3127,0.4033,0.2266
8,0.3528,0.4731,0.5952,0.3443
9,0.5024,0.6693,0.7849,0.4908
10,0.6732,0.8554,0.9178,0.6623
11,0.8287,0.9641,0.9796,0.8150
12,0.9264,0.9942,1,0.9179
13,0.9774,0.9994,1,0.9798
14,0.9946,1,1,1
15,0.9990,1,1,1
16,0.999,1,1,1
17,1,1,1,1
18,1,1,1,1
19,1,1,1,1
20,1,1,1,1
21,1,1,1,1
22,1,1,1,1
23,1,1,0,1
24,1,1,0,1
25,1,1,0,1
26,0,0,0,0
