Speed bin (m/s),0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25
IEC class 1,0,0,0,0,0,0,0.0043,0.0183,0.0323,0.0547,0.0771,0.10985,0.1426,0.18775,0.2329,0.29285,0.3528,0.4276,0.5024,0.5878,0.6732,0.75095,0.8287,0.87755,0.9264,0.9519,0.9774,0.986,0.9946,0.9968,0.999,0.999,0.999,0.9995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IEC class 2,0,0,0,0,0,0,0.0052,0.02375,0.0423,0.0727,0.1031,0.147,0.1909,0.2518,0.3127,0.3929,0.4731,0.5712,0.6693,0.76235,0.8554,0.90975,0.9641,0.97915,0.9942,0.9968,0.9994,0.9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IEC class 3,0,0,0,0,0,0,0.0054,0.0292,0.053,0.09405,0.1351,0.19295,0.2508,0.32705,0.4033,0.49925,0.5952,0.69005,0.7849,0.85135,0.9178,0.9487,0.9796,0.9898,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Offshore,0,0,0,0,0,0,0,0.01405,0.0281,0.05105,0.074,0.10565,0.1373,0.18195,0.2266,0.28545,0.3443,0.41755,0.4908,0.57655,0.6623,0.73865,0.815,0.86645,0.9179,0.94885,0.9798,0.9899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Clipper Liberty C93,0,0,0,0,0,0,0,0.014,0.0284,0.0524,0.0764,0.1132,0.1496,0.1876,0.226,0.288,0.3504,0.4268,0.5028,0.5932,0.6836,0.776,0.8604,0.904,0.938,0.968,0.984,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Clipper Liberty C96,0,0,0,0,0,0,0,0.0196,0.0396,0.0608,0.082,0.116,0.1496,0.1936,0.2372,0.3024,0.3672,0.4648,0.562,0.6484,0.7344,0.8064,0.8784,0.92,0.948,0.97,0.9872,0.9908,0.9944,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gamesa G114-2.0,0,0,0,0,0,0,0.016,0.0445,0.073,0.122,0.171,0.24075,0.3105,0.40725,0.504,0.6235,0.743,0.8305,0.918,0.95025,0.9825,0.98975,0.997,0.99825,0.9995,0.99975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9765,0.953,0.89675,0.8405,0.784,0.7275,0.67125,0.615
Gamesa G126-2.5,0,0,0,0,0,0,0.007799064,0.034795825,0.061792585,0.110566732,0.159340879,0.1550014,0.150661921,0.315842099,0.481022277,0.596108467,0.711194657,0.804063512,0.896932368,0.936547614,0.97616286,0.985621725,0.99508059,0.997280326,0.999480062,0.999740031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.959744831,0.919489661,0.879494461,0.83949926,0.79950406,0.759508859,0.719513658,0.679518458
Gamesa G58-850,0,0,0,0,0,0,0.011411765,0.024058824,0.039117647,0.065682353,0.092235294,0.133294118,0.174352941,0.227529412,0.285529412,0.359705882,0.433882353,0.525941176,0.618,0.722164706,0.817647059,0.877411765,0.937176471,0.960294118,0.983411765,0.990105882,0.996235294,0.997705882,0.999176471,0.999541176,0.999882353,0.999941176,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Gamesa G80-2.0,0,0,0,0,0,0,0,0,0.032415,0.053455,0.0745,0.10875,0.143,0.18748,0.236,0.302,0.368,0.442,0.516,0.59765,0.6725,0.734,0.7955,0.859,0.9225,0.947285,0.97,0.977,0.984,0.98948,0.9945,0.99575,0.997,0.9985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gamesa G87-2.0,0,0,0,0,0,0,0.0075,0.021,0.035,0.057,0.079,0.104,0.129,0.179,0.2285,0.3155,0.4025,0.4845,0.566,0.65,0.734,0.8045,0.875,0.9125,0.95,0.975,0.995,0.9975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gamesa G90-2.0,0,0,0,0,0,0.009,0.0135,0.026,0.0385,0.0615,0.085,0.1205,0.156,0.2135,0.271,0.3575,0.444,0.534,0.6245,0.712,0.8,0.875,0.9505,0.985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Gamesa G97-2.0,0,0,0,0,0,0,0.007,0.027,0.047,0.0825,0.118,0.1685,0.219,0.288,0.357,0.4495,0.542,0.648,0.754,0.836,0.918,0.95225,0.9865,0.99125,0.996,0.9975,0.999,0.9995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.919,0.838,0.7275,0.617
GE 1.5 S,0,0,0,0,0,0,0,0,0.025666667,0.044,0.069333333,0.1,0.136666667,0.179333333,0.229333333,0.285333333,0.352,0.429333333,0.516,0.617666667,0.719333333,0.807333333,0.894666667,0.934,0.973333333,0.984666667,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GE 1.5 SE,0,0,0,0,0,0,0.002,0.012666667,0.023333333,0.036666667,0.05,0.076,0.102,0.142,0.182666667,0.242,0.302,0.388666667,0.476,0.574666667,0.674,0.775333333,0.876666667,0.966666667,0.992666667,0.996666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
GE 1.5 SLE,0,0,0,0,0,0,0.002666667,0.013333333,0.032,0.059333333,0.086666667,0.129333333,0.171333333,0.225333333,0.278666667,0.356666667,0.434666667,0.53,0.625333333,0.714,0.802,0.851333333,0.900666667,0.929333333,0.958,0.972666667,0.986666667,0.992,0.997333333,0.998666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GE 1.5 XLE,0,0,0,0,0,0,0,0.033333333,0.078,0.12,0.162,0.219333333,0.276,0.353333333,0.434666667,0.533333333,0.628666667,0.736666667,0.842666667,0.906666667,0.951333333,0.98,0.992,0.997333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
GE 1.5-82.5,0,0,0,0,0,0,0,0.033333333,0.078,0.12,0.162,0.219333333,0.276,0.353333333,0.434666667,0.533333333,0.628666667,0.736666667,0.842666667,0.906666667,0.951333333,0.98,0.992,0.997333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
GE 1.6 82.5,0,0,0,0,0,0,0.00375,0.02375,0.046875,0.08125,0.125625,0.16875,0.216875,0.286875,0.356875,0.44375,0.530625,0.6175,0.70375,0.784375,0.864375,0.9375,0.9825,0.996875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
