Speed bin (m/s),AK,CO,WY,IL,IA,MN,WI,VT,MA,CA,NE,TN,WA,SD,TX,OR,NY,KS,PA,MI,WV,ND,OK,NM,OH,NJ,ID,MT,HI,NH,ME,MO,IN,UT,AZ,DE,NV,MD,RI,NC,CT,Offshore
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0005564043670946845,0.0004653305395703542,0.00029946907542052607,0.000522344932396295,0.000502054914987896,0.0003616208596861148,0.00031385446798606236,0.0003118825390423742,0.0004299610949223555,0.00034493147650571676,0.0005733759317230596,4.183304728842764e-05,0.0003156944960864675,0.000491475226449308,0.00042544018501816113,0.0002548343217642803,0.000421687050745521,0.0005314319057486209,0.0005609949551488619,0.0007025329148978381,0.00031904863502813294,0.0005256427717643757,0.0005535803368254535,0.00037134669623379945,0.0011113859241659524,0.0004952546145618502,0.0005473736263735302,0.0005073173532119465,0.0004621395323465351,0.0003709842752975904,0.0004269573243121292,0.0005078737242802501,0.0003813867405276481,0.0005963072816687787,0.00029958096671193205,0.0010141149397094775,0.0006315755719819173,0.0004075301806024872,0.0008241237231200113,0.0012161013406742807,0.0001662804038946523,0.000282086856747747
0.02,0.0005675151445901297,0.00047516048647283876,0.0003060310386354447,0.0005331861800926355,0.0005121503221862997,0.0003694743170500191,0.00032080412722093675,0.00031865225012081143,0.0004387750044670793,0.000352156853435622,0.0005859243417168156,4.342953761183323e-05,0.0003223464480721219,0.000501754771942378,0.00043439937439930824,0.00026057647175446237,0.0004304003133097394,0.0005424850783461041,0.0005717057921272541,0.0007172471299533229,0.00032607024092199137,0.0005365204941522295,0.0005649679182484087,0.00037937224320052965,0.0011303695645866613,0.0005048855151721472,0.0005592081849459577,0.000517691196124533,0.0004714512851330356,0.0003787245183582817,0.0004356424883814434,0.0005183982800014996,0.00038953722776443244,0.0006091184690970271,0.00030620608370323835,0.0010302237062478512,0.0006442879099432737,0.00041627098180244603,0.0008396441330456104,0.0012390650626776063,0.00017105034258057812,0.00028892947933357316
0.03,0.0005788096092395391,0.0004851609794658032,0.00031271152466856523,0.0005442138456598029,0.0005224141402350865,0.00037746794489004477,0.0003278812476569558,0.00032554084472841946,0.0004477394942467732,0.0003595070380497364,0.0005986957172781858,4.507013483678241e-05,0.0003291162737994515,0.0005122102557522988,0.00044351410078000115,0.0002664264368037749,0.00043926367573965245,0.0005537277835272157,0.0005825872920162601,0.0007322161000463155,0.0003332161806727902,0.0005475825530162701,0.0005765492355956182,0.0003875380076959528,0.001149624490901439,0.0005146727569473438,0.0005712486590182666,0.000528239404221511,0.00048091568484656276,0.0003865968522160575,0.0004444736715764916,0.0005291008105731853,0.00039783363693901666,0.0006221499698320591,0.00031295525597251056,0.0010465458199561744,0.0006572087057819377,0.00042516470558637975,0.0008554055119814565,0.0012623868881431548,0.0001759249087742998,0.00029590528195158795
0.04,0.0005902902950577786,0.0004953343233821845,0.0003195121848275968,0.0005554304263085936,0.0005328485618546454,0.00038560368003676116,0.0003350876226466869,0.00033254994932239724,0.0004568565760442221,0.00036698370409652694,0.0006116931341714236,4.675723664617023e-05,0.00033600558419683783,0.0005228440306553667,0.00045278646633499736,0.00027238575602942276,0.0004482791507998222,0.000565162555214833,0.0005936416000594564,0.00074744325519257,0.0003404881761621723,0.0005588313921595158,0.0005883268636817739,0.0003958459032228521,0.0011691537559316621,0.0005246183367634868,0.0005834978538871053,0.0005389642688084491,0.0004905346968700484,0.00039460303760409447,0.0004534527976649978,0.0005399836735377173,0.0004062779726668578,0.0006354047602038123,0.0003198302561958949,0.0010630836472076536,0.0006703406428162221,0.0004342134328768325,0.0008714107879371684,0.001286071184809574,0.00018090576267053773,0.00030301622998175367
0.05,0.000601959753879588,0.0005056828471581822,0.0003264346886078537,0.0005668384485202668,0.0005434558014362116,0.0003938834803160833,0.00034242506563265707,0.00033968120747199807,0.00046612827380482425,0.0003745885466219597,0.0006249197010188045,4.849164818278147e-05,0.00034301600756399714,0.0005336584735223363,0.00046221859436457554,0.00027845598667604793,0.00045744877226146355,0.0005767919534310565,0.0006048708711428209,0.0007629320611186919,0.0003478879670415442,0.0005702694800775917,0.000600303399285422,0.00040429786341473264,0.0011889604139965482,0.0005347242710105018,0.0005959586041360161,0.0005498681040480391,0.0005003103052508615,0.00040274485315750245,0.0004625818051058418,0.0005510492501919441,0.0004148722662662432,0.0006488858470691595,0.00032683286972401193,0.0010798393641685755,0.0006836864298176145,0.000443419266355418,0.0008876629144403689,0.001310122358869026,0.00018599458615631493,0.00031026431230951856
0.06,0.0006138204107036193,0.0005162089039704604,0.00033348072381252477,0.0005784404649200329,0.0005542380951475076,0.00040230932468642277,0.00034989541028653643,0.0003469362799534552,0.00047555663222998736,0.00038232327817872664,0.0006383785594926187,5.027418645727127e-05,0.00035014918968375407,0.000544655985445506,0.0004718126302909603,0.00028463870369318416,0.0004667745950249213,0.0005886185644425973,0.000616277280265539,0.0007786860194640827,0.00035541731166090977,0.0005818993100838799,0.0006124814654962006,0.00041289584214859287,0.0012090475432111664,0.0005449925956894109,0.0006086337737927007,0.0005609532470722078,0.0005102445127716951,0.0004110240955051744,0.0004718626516921459,0.0005622999457115883,0.0004236185710348156,0.0006625962679643928,0.0003339649023781766,0.0010968151610891493,0.0006972488011066285,0.00045278433058245336,0.0009041648706065125,0.0013345448550817797,0.00019119308300836723,0.00031765154151090915
0.07,0.0006258747139085349,0.0005269148713722703,0.00034065199667243976,0.000590239054423577,0.0005651977010372,0.0004108832133818556,0.00035750051064789383,0.00035431684484404273,0.00048514371689264963,0.00039018962892285215,0.0006520728845056939,5.210568048215388e-05,0.0003574067939333094,0.0005558389918645458,0.0004815707417957016,0.00029093549986112296,0.0004762586952413248,0.0006006450009098401,0.0006278630226244942,0.0007947086679813136,0.00036307798718083464,0.0005937234004333126,0.0006248637118526581,0.00042164181365670717,0.0012294182455299318,0.0005554253665085808,0.0006215262564846811,0.0005722220580929364,0.0005203393410199864,0.0004194425793606647,0.00048129731464736003,0.0005737381892875935,0.00043251896239090146,0.0006765390912558093,0.0003412281806033645,0.0011140132422969831,0.0007110305166466431,0.00046231077211550105,0.0009209196612065121,0.001359343156887686,0.0001965029790908281,0.0003251799540374526
0.08,0.0006381251353567415,0.0005378031514284869,0.0003479504398325807,0.0006022368223824344,0.0005763368991386347,0.0004196071894553061,0.00036524224126250314,0.00036182459761525477,0.0004948916143519224,0.0003981893467094985,0.0006660058844004083,5.398697140653889e-05,0.0003647905013950227,0.0005672099426910464,0.0004914951613552078,0.00029734822040027546,0.0004859031704333997,0.0006128739020073239,0.0006396303136975353,0.0008110035809242675,0.00037087178968361477,0.0006057442944447806,0.0006374528144787633,0.00043053777263740093,0.0012500756467881248,0.0005660246589789769,0.0006346389755933195,0.0005836769205117659,0.0005305968304558574,0.00042800213761206836,0.0004908877907202993,0.000585366434186954,0.00044157553801422604,0.0006907174162883522,0.00034862455162099765,0.0011314358261892796,0.0007250343621357015,0.00047200075962679526,0.0009379303167321547,0.001384521786514506,0.0002019260225531642,0.00033285161040090826
0.09,0.0006505741704966863,0.0005488761946501286,0.00035537781925165413,0.0006144364023413139,0.0005876580176512366,0.00042848331468059366,0.0003731224973201653,0.0003694612512250653,0.0005048024322668141,0.000406324197187939,0.0006801808011361273,5.591891265160355e-05,0.0003723020109666847,0.000578771312431742,0.0005015881060878457,0.0003038785195271047,0.0004957101396153948,0.0006253079335743197,0.0006515813893254897,0.0008275743719691542,0.00037880053428361067,0.000617964560622107,0.0006502514762190644,0.0004395857343647711,0.0012710228967413942,0.0005767925685083923,0.0006479748844061345,0.0005953202410279455,0.0005410190404785299,0.0004367046214108752,0.0005006360962790986,0.0005971871578972417,0.00045079041798597565,0.0007051343735322518,0.00035615588358151403,0.001149085145223728,0.0007392631490962155,0.0004818564840195106,0.0009551998934592508,0.0014100853050830102,0.00020746398402832686,0.0003406685953577661
